branch,method,condition,k_mts,k_ci_lo,k_ci_hi,delta_abs,pct_change_vs_intact,pct_ci_lo,pct_ci_hi
Extension,Secant 0-5 Nm,Intact,0.634432855123408,0.6343663721039888,0.6455738067525321,0.0,0.0,0.0,0.0
Extension,Secant 0-5 Nm,PUF Left,0.6556310301934136,0.6554699924067817,0.6681189051473734,0.021198175070005654,3.3412795221461615,1.5534696407479722,5.309632349717987
Extension,Secant 0-5 Nm,FUF Left,0.6438929757872347,0.6438929757872347,0.6578027137574208,0.009460120663826732,1.4911145580546232,-0.2576579698429219,3.6812670741131104
Extension,Secant 0-5 Nm,FBF,0.5901329533752111,0.5901329533752111,0.6054047317068671,-0.04429990174819687,-6.982598929177428,-8.585362642211974,-4.575569531659473
Extension,Secant 0-5 Nm,Posterior Release,0.4634388327530589,0.4634388327530589,0.4636204241922378,-0.17099402237034905,-26.95226468640055,-28.211156568023945,-26.923694884141828
Extension,Secant 0-5 Nm,SPO,0.37989316370755327,0.37974340358481284,0.37990210995762747,-0.2545396914158547,-40.12082434891276,-41.16683217615953,-40.114737422168886
Flexion,Secant 0-5 Nm,Intact,0.4489022439889008,0.44886738885344485,0.4555339526891723,0.0,0.0,0.0,0.0
Flexion,Secant 0-5 Nm,PUF Left,0.4286878120417138,0.4286850678185609,0.428736170688622,-0.020214431947186973,-4.503081064501602,-5.89333473146767,-4.490196893254078
Flexion,Secant 0-5 Nm,FUF Left,0.4093755952970138,0.40933758390991815,0.4093755952970138,-0.03952664869188699,-8.805179573320267,-10.135409497424849,-8.798544947909324
Flexion,Secant 0-5 Nm,FBF,0.4143656226492352,0.4143656226492352,0.4230098432251654,-0.03453662133966556,-7.693572888559562,-9.03698951534508,-5.766374498445052
Flexion,Secant 0-5 Nm,Posterior Release,0.4656502766316349,0.4656252545852755,0.4843329113560677,0.016748032642734112,3.730886371587889,2.219811553665437,7.894982607551953
Flexion,Secant 0-5 Nm,SPO,0.4458537547875503,0.44578013320802873,0.4626242386590155,-0.0030484892013504794,-0.6790986773115472,-2.1324994528280854,3.0579378536416963
