metric,condition,n_cycles_used,k_median,ci_lo,ci_hi,pct_change_vs_intact,pct_ci_lo,pct_ci_hi
k_rot,Intact,8,1.2174329191898074,0.7294509898103032,2.691191969750733,0.0,0.0,0.0
k_rot,PUF Left,9,2.1760403460950144,1.5328135487176375,3.5195480117034177,78.74006130400622,-20.272701612110055,213.51719667081164
k_rot,FUF Left,9,2.476037971835124,0.8014572341564302,3.124775988848119,103.38188107176443,-33.41825737454946,258.9426036149161
k_rot,FBF,9,2.150667874092332,1.4510944463392903,2.43018539221416,76.65596520287833,-27.106156411172712,194.83377281476066
k_rot,Posterior Release,10,2.3419970655297124,1.9802406763306335,3.476684852363742,92.37175441980771,-8.987970474820973,242.44678576552934
k_rot,SPO,6,2.4760985559544304,1.2116233128232692,2.7194125569051595,103.38685745431096,-20.94241610157454,228.5162166441907
k_lin,Intact,8,4.011212415661333,2.4034037693762675,8.866971207888948,0.0,0.0,0.0
k_lin,PUF Left,9,7.169643530786976,5.050332252886539,11.596248515652176,78.74006130400622,-20.27270161211001,221.63887572017077
k_lin,FUF Left,9,8.158079264756179,2.640650796932043,10.295548974451387,103.38188107176434,-33.437007522077316,258.935031886986
k_lin,FBF,9,7.086046009224217,4.781083185533511,8.007003641806774,76.65596520287824,-27.35883485049658,192.0432920804905
k_lin,Posterior Release,10,7.716439697512859,6.524520457505906,11.572081838483097,92.37175441980777,-10.30665897418336,235.77970524041586
k_lin,SPO,6,8.158278878030732,3.9920708557279347,8.959952733020062,103.38685745431077,-20.476886476337313,231.92966560933127
