file_name,intervention,n_cycles,n_valid,k_mean_n_per_mm,k_median_n_per_mm,k_std_n_per_mm,r2_mean,rank_k_median
7 - SPO,SPO,9,6,7.036767488926242,8.158278878030732,2.2364648254895494,0.9889929693148126,1.0
4 - FUF Left,"FUF, left",9,9,7.850705275579205,8.158079264756179,4.574962453326005,0.9734989087609738,2.0
6 - Posterior Release,Posterior Release,10,10,8.775314652276734,7.716439697512859,3.5239589782600538,0.958738942626898,3.0
3 - PUBF Left,"PUBF, left",9,9,7.4502266528385395,7.169643530786976,2.9010691562688313,0.9771629772479926,4.0
5 - FBF,FBF,9,9,6.4945330179195935,7.086046009224217,1.6513881699026138,0.9780163798285592,5.0
2 - Intact Holding Longer,"intact, but holding",9,8,5.4830860105917365,4.011212415661333,4.239068692696325,0.9182421158974212,6.0
