file_name,intervention,cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason,theta_start_deg,non_neutral_start
2 - Intact Holding Longer,"intact, but holding",1,False,no_valid_linear_window,,,,,,,,,,,1.999243312161912,ok,0.0011618781653907,False
2 - Intact Holding Longer,"intact, but holding",2,True,ok,15.2651464420226,12.191995011190947,0.8948490163533812,70.0,2.0565892208065124,0.1001183563973849,2.156707577203897,4.339123406502932,44.60622985176195,fallback_best_r2,5.873867183277543,ok,-0.0081466919893941,False
2 - Intact Holding Longer,"intact, but holding",3,True,ok,2.8564829209633804,27.672315487342704,0.7595840654848336,55.0,2.0302175078992577,0.118974228528846,2.149191736428104,26.202930874682085,32.49186254889692,fallback_initial_window,2.554355336875045,ok,-0.0366084460577332,False
2 - Intact Holding Longer,"intact, but holding",4,True,ok,4.761028242520111,8.96578309123817,0.9525959445037036,59.0,2.016228403076148,0.0565701143085752,2.072798517384723,10.48478350653608,17.68955243949701,fallback_initial_window,1.2768306545582366,ok,-0.0228961193658741,False
2 - Intact Holding Longer,"intact, but holding",5,True,ok,2.4034037693762675,9.665719170103031,0.9136550282514032,58.0,2.854170068384197,0.0042528762104298,2.8584229445946265,8.564290990430747,16.708377791579828,fallback_initial_window,1.0750777405849612,ok,0.0018478187430743,False
2 - Intact Holding Longer,"intact, but holding",6,True,ok,3.308636540253861,8.143867149958925,0.9293215555405674,53.0,2.7065032956302173,0.4514304189263712,3.1579337145565884,8.217331342139431,19.36062059250017,fallback_initial_window,1.3962347236299637,ok,-0.0031054507038631,False
2 - Intact Holding Longer,"intact, but holding",7,True,ok,1.6892306706399187,1.7133125961870186,0.9753590226839264,60.0,2.684214810430144,0.0322283676530043,2.716443178083148,1.3637220663735352,7.275494896962622,strict_initial_window,2.1509450026110897,ok,-0.0012739436060995,False
2 - Intact Holding Longer,"intact, but holding",8,True,ok,4.713788291068805,16.522420812567802,0.9707252161169448,44.0,2.427108532796373,1.0534920544411115,3.4806005872374843,19.652889664277826,33.4723069536607,strict_initial_window,2.4596514711101256,ok,0.0001767525040877,False
2 - Intact Holding Longer,"intact, but holding",9,True,ok,8.866971207888948,10.083330743143769,0.9498470782446096,98.0,2.079760698870139,0.0098154214815462,2.089576120351685,8.419424947945497,24.00841570719358,fallback_initial_window,2.1319444009709665,ok,0.0040462647403182,False
3 - PUBF Left,"PUBF, left",1,True,ok,2.5982621095682434,2.897727365499958,0.971607962470354,43.0,5.04374149013122,0.4735872495048541,5.517328739636074,2.511189228614093,16.913859891434555,strict_initial_window,1.333296825483175,ok,0.0095847947645224,False
3 - PUBF Left,"PUBF, left",2,True,ok,7.169643530786976,-1.8510244568432064,0.9866726534688388,111.0,3.007578739852621,0.0248239158785952,3.0324026557312167,0.0,17.769581316538833,strict_initial_window,2.35170567340124,ok,0.0107856647518866,False
3 - PUBF Left,"PUBF, left",3,True,ok,8.954114325729565,-3.4080819375082787,0.9710107725154687,88.0,2.868200059180994,0.2759711858810448,3.14417124506204,3.060490732721087,25.566320214261815,strict_initial_window,2.455737005289085,ok,-0.0016905451302378,False
3 - PUBF Left,"PUBF, left",4,True,ok,6.734111550856888,-5.404638233960449,0.9700514768169614,51.0,2.277627561455384,0.6611782266903337,2.938805788145717,0.0528053336894114,12.877954112795376,strict_initial_window,1.506284554037194,ok,-0.0020875114921702,False
3 - PUBF Left,"PUBF, left",5,True,ok,5.43261789306382,3.886945068884517,0.9893996773575964,71.0,2.6874806902882864,0.0041970556518947,2.691677745940181,4.370348179437941,17.642154747288203,strict_initial_window,1.420459327560347,ok,0.0018235654450223,False
3 - PUBF Left,"PUBF, left",6,True,ok,5.050332252886539,-1.1802706998499777,0.992122957250304,108.0,3.244419629479093,0.0024547629736905,3.246874392452784,0.0,15.236420294831934,strict_initial_window,1.5522204448866772,ok,0.001066562205941,False
3 - PUBF Left,"PUBF, left",7,True,ok,12.174590287671172,-4.218693644683791,0.958749024659313,102.0,2.025379641177349,0.3334325248570418,2.3588121660343915,3.491438414980465,21.894605245222497,fallback_initial_window,2.930098521535766,ok,-0.0030319340507084,False
3 - PUBF Left,"PUBF, left",8,True,ok,7.342119409331465,1.2510121787028714,0.9716926923256812,57.0,2.073276761798053,0.9775459009209548,3.050822662719008,6.158285113043397,23.13228776787497,strict_initial_window,3.091344891257451,ok,0.0382947186675428,False
3 - PUBF Left,"PUBF, left",9,True,ok,11.596248515652176,-14.755436901231436,0.9831595783674152,122.0,3.306116681352766,2.181941079571065,5.488057760923831,12.793833133676404,47.59603895105104,strict_long_window,2.60645294324947,ok,-0.0027968803834838,False
4 - FUF Left,"FUF, left",1,True,ok,8.158079264756179,-12.92177591516332,0.9721322368401618,49.0,3.686590864302838,2.075706610787344,5.762297475090182,7.72286092406596,34.91170958431425,strict_initial_window,1.834599547000514,ok,0.0030574932049169,False
4 - FUF Left,"FUF, left",2,True,ok,9.329175632406336,-25.78746067036886,0.9915744957921944,102.0,4.915965369212968,2.94931712190813,7.865282491121097,7.506260776859253,47.83131046652555,strict_long_window,1.725267113996835,ok,-0.0053264222310382,False
4 - FUF Left,"FUF, left",3,True,ok,4.872881737705102,-1.165590781884874,0.9662584980977774,17.0,2.119321981865024,2.4930010105147336,4.612322992379758,11.99035076832584,22.48092381707097,fallback_initial_window,2.0360233553620746,ok,0.0083986568389706,False
4 - FUF Left,"FUF, left",4,True,ok,1.9890527071811264,13.00967513658082,0.9727296805286896,34.0,2.652437779485504,1.3815152371907675,4.033953016676271,15.1859475956659,20.38714169162415,strict_initial_window,1.4871164356136088,ok,0.00496690448808,False
4 - FUF Left,"FUF, left",5,True,ok,5.903783948309423,4.495212333382272,0.97725021811413,67.0,2.5007275345697866,0.1905212268187041,2.691248761388491,0.5233348236191864,19.60393761092304,strict_initial_window,1.7683020701114247,ok,-0.0014851944209682,False
4 - FUF Left,"FUF, left",6,True,ok,2.640650796932043,13.486162719991746,0.9718435022587978,28.0,3.118206948630882,0.0037161481936939,3.121923096824576,13.53650312179543,23.00785098220625,strict_initial_window,1.3552392162523277,ok,0.0016146174834596,False
4 - FUF Left,"FUF, left",7,True,ok,10.295548974451387,-0.2266779809012922,0.9700691775031204,111.0,4.056913121768473,0.3344795696818176,4.3913926914502905,5.898721030047293,45.03075862399051,strict_initial_window,3.117534728594603,ok,0.0077005504507546,False
4 - FUF Left,"FUF, left",8,True,ok,9.447753270789445,5.832767949269591,0.9839293591178836,100.0,2.7559601092410606,1.4303747039701955,4.186334813211256,15.564306246564298,44.40249818979553,strict_initial_window,3.5115524492849834,ok,0.130660526622417,False
4 - FUF Left,"FUF, left",9,True,ok,18.01942114768179,-21.446840593202143,0.955703010596009,97.0,2.910528933033939,1.2173240577763926,4.127852990810331,3.395128163332036,48.33855191994113,fallback_initial_window,3.1090494031167,ok,0.0041819936081322,False
5 - FBF,FBF,1,True,ok,7.679044537203801,-24.47437871101976,0.9724376180564914,44.0,4.045185892708631,3.13254836351736,7.17773425622599,3.9779010721868353,33.92488444026519,strict_initial_window,1.832927348713245,ok,-0.0028195470659379,False
5 - FBF,FBF,2,True,ok,8.007003641806774,-22.98319745057812,0.9936635497976622,52.0,5.00923840667624,2.772207621389425,7.781446028065665,2.246618882519611,40.31455447139177,strict_initial_window,1.83347596638005,ok,0.00371216034301,False
5 - FBF,FBF,3,True,ok,6.103223532229671,-14.08075587812958,0.9701917957290558,66.0,5.974565731504288,2.1096412818490857,8.084207013353375,3.7720693579281344,37.932290231222936,strict_initial_window,1.9183811392354453,ok,-0.0042791197288614,False
5 - FBF,FBF,4,True,ok,3.464156904623875,3.293060878109059,0.9734075434938892,183.0,6.081777390567027,0.0429907353338268,6.124768125900855,0.0,27.37438820545775,strict_initial_window,1.375041369034394,ok,0.0186789087191341,False
5 - FBF,FBF,5,True,ok,4.781083185533511,0.1964009947689828,0.9702259307419022,81.0,4.97440197575777,0.0147982440625315,4.989200219820302,0.0,21.219436429432385,strict_initial_window,1.514623220087549,ok,0.0064296422915567,False
5 - FBF,FBF,6,True,ok,4.949768793672532,4.084923101256943,0.973632265745317,84.0,5.271542256191792,0.0041142698018572,5.27565652599365,3.4610092722956094,27.618839849900095,strict_initial_window,1.4158048476750753,ok,0.0017875960826916,False
5 - FBF,FBF,7,True,ok,7.086046009224217,8.652984335228048,0.9704257101751886,75.0,4.290368354169804,0.3885627148678446,4.678931069037648,15.027894846071211,44.2496422906534,strict_initial_window,2.3700759596359497,ok,-0.0013443027924733,False
5 - FBF,FBF,8,True,ok,8.406916832473343,-32.814380378787575,0.9858212914961848,51.0,5.000476376887281,3.8137078751759375,8.81418425206322,0.8183200865568487,42.32747253277286,strict_initial_window,2.095286588823799,ok,0.546903898009983,False
5 - FBF,FBF,9,True,ok,7.973553724508616,1.9146223816839416,0.9923417132213416,42.0,5.040853444131065,0.0298785548593426,5.070731998990407,0.0,44.14609022770031,strict_initial_window,2.966160398619845,ok,0.0129818388669934,False
6 - Posterior Release,Posterior Release,1,True,ok,8.187201460944545,-14.51773272253231,0.9739710647090816,61.0,5.431654202893157,1.95349680627098,7.3851510091641375,8.360832253290882,48.2228902024231,strict_initial_window,2.1835277080736795,ok,0.006205258664169,False
6 - Posterior Release,Posterior Release,2,True,ok,5.793611853442648,-3.6359785080211138,0.9760901428975716,67.0,8.325798923815517,0.0555058491589253,8.381304772974442,0.0,52.1697263268227,strict_initial_window,1.9464451784658756,ok,-0.00154863898502,False
6 - Posterior Release,Posterior Release,3,True,ok,7.255429061569163,9.370792383685805,0.996800954006246,55.0,6.359480293021137,0.0636775463349321,6.423157839356069,10.372875790791166,58.02833077654101,strict_initial_window,2.373366600290206,ok,-0.0037318478207469,False
6 - Posterior Release,Posterior Release,4,True,ok,7.953082724152807,-9.949231102694297,0.9706797038156172,24.0,2.2054528118327847,2.718357906547442,4.923810718380227,9.993991889586912,27.22458425404852,strict_initial_window,1.142676853326097,ok,-0.0040542301097571,False
6 - Posterior Release,Posterior Release,5,True,ok,4.236790646583521,6.781537333870458,0.970754517064924,44.0,3.736502854816904,0.8732827520302681,4.609785606847172,8.463820628726435,24.74180629535009,strict_initial_window,1.3857715473101178,ok,-0.0010461859181509,False
6 - Posterior Release,Posterior Release,6,True,ok,8.978240428707664,8.644103731049261,0.959596727264083,24.0,2.054926337222417,0.0119092867548877,2.0668356239773047,7.616720749356618,24.650135322484346,fallback_initial_window,1.3698661651986397,ok,0.0051744283617662,False
