cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason,theta_start_deg,non_neutral_start
1,True,ok,7.977610094932707,-19.231061475116658,0.9945314551262538,43.0,7.918126230291119,3.204481574857421,11.12260780514854,10.6332766499257,71.82496216088398,strict_initial_window,2.051941438322478,ok,-0.0011876493975518045,False
2,True,ok,9.280115088602509,-32.02636266473151,0.9987351780470815,42.0,7.334813058738216,4.3802498312444405,11.715062889982656,8.677836452152892,74.09989588221234,strict_initial_window,2.1571489665922168,ok,0.00041463425474994975,False
3,True,ok,8.338947661128758,-21.42396333630645,0.979365590964348,50.0,8.263962541290448,3.228290183011987,11.492252724302435,8.81767540160585,75.23419251220972,strict_initial_window,1.986612496685623,ok,-0.009261420033127743,False
4,False,transition_flagged_excluded,,,,,,,,,,,,,5.49601879074061,True
5,False,transition_flagged_excluded,,,,,,,,,,,,,5.948407617358574,True
6,False,transition_flagged_excluded,,,,,,,,,,,,,4.2204716082991665,True
7,True,ok,8.639790377437615,4.029135892994228,0.973973215656315,55.0,4.183210418616115,0.5672339360519769,4.750444354668092,10.64437609341929,43.927999687982805,strict_initial_window,2.163660933313709,ok,-0.004486695852360653,False
8,True,ok,3.1898410029816144,7.95209724054103,0.9944934183395482,47.0,9.216068970676227,0.018163139424954445,9.234232110101182,8.145995296851751,40.337397087864886,strict_initial_window,1.9974260166825404,ok,-0.001295274390435453,False
9,True,ok,4.794300708474255,4.613012487705221,0.9928589577553295,101.0,9.201625421844712,0.03905106804151988,9.240676489886232,0.0,50.40761120847762,strict_initial_window,2.2755510517039608,ok,0.016967175128970186,False
