cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason,theta_start_deg,non_neutral_start
1,False,no_valid_linear_window,,,,,,,,,,,1.9992433121619118,ok,0.0011618781653907392,False
2,True,ok,15.2651464420226,12.191995011190947,0.8948490163533812,70.0,2.0565892208065124,0.1001183563973849,2.1567075772038975,4.339123406502932,44.60622985176195,fallback_best_r2,5.873867183277543,ok,-0.008146691989394116,False
3,True,ok,2.8564829209633804,27.672315487342704,0.7595840654848336,55.0,2.0302175078992577,0.118974228528846,2.149191736428104,26.202930874682085,32.49186254889692,fallback_initial_window,2.554355336875045,ok,-0.03660844605773329,False
4,True,ok,4.761028242520111,8.96578309123817,0.9525959445037037,59.0,2.016228403076148,0.05657011430857521,2.072798517384723,10.48478350653608,17.68955243949701,fallback_initial_window,1.2768306545582366,ok,-0.022896119365874178,False
5,True,ok,2.4034037693762675,9.665719170103033,0.9136550282514033,58.0,2.854170068384197,0.004252876210429815,2.8584229445946265,8.564290990430747,16.708377791579828,fallback_initial_window,1.0750777405849612,ok,0.0018478187430743895,False
6,True,ok,3.308636540253861,8.143867149958925,0.9293215555405674,53.0,2.7065032956302173,0.4514304189263712,3.1579337145565884,8.217331342139431,19.36062059250017,fallback_initial_window,1.3962347236299635,ok,-0.0031054507038631293,False
7,True,ok,1.6892306706399187,1.7133125961870186,0.9753590226839263,60.0,2.6842148104301438,0.03222836765300438,2.716443178083148,1.3637220663735352,7.275494896962622,strict_initial_window,2.1509450026110897,ok,-0.0012739436060995295,False
8,True,ok,4.713788291068805,16.522420812567802,0.9707252161169448,44.0,2.427108532796373,1.0534920544411115,3.4806005872374843,19.652889664277826,33.4723069536607,strict_initial_window,2.4596514711101256,ok,0.00017675250408774384,False
9,True,ok,8.866971207888948,10.083330743143767,0.9498470782446096,98.0,2.079760698870139,0.009815421481546252,2.089576120351685,8.419424947945497,24.00841570719358,fallback_initial_window,2.1319444009709665,ok,0.0040462647403182025,False
