file_name,intervention,n_cycles,n_valid,k_mean_n_per_mm,k_median_n_per_mm,k_std_n_per_mm,r2_mean,rank_k_median
6 - Posterior Release,Posterior Release,11,9,7.229932445894101,7.656187029798745,1.5300231921036747,0.9718834502557071,1.0
5 - FBF,FBF,10,9,6.34127163360598,6.571105721934887,2.1873522251259274,0.9553539758499203,2.0
7 - SPO,SPO,16,8,6.9635401334915,6.120946332254723,4.425348517344122,0.9763158380234345,3.0
4 - FUF Left,"FUF, left",9,8,7.671300900796867,5.98926328532851,5.010656389187527,0.9497565990116061,4.0
2 - Intact Holding Longer,"intact, but holding",9,5,7.28691572548122,5.591026336241617,3.8816839474806364,0.9143860975891677,5.0
3 - PUBF Left,"PUBF, left",9,6,5.742878170130878,5.285406314685558,2.5338356735296625,0.95660190683002,6.0
