file_name,intervention,n_cycles,n_valid,k_mean_n_per_mm,k_median_n_per_mm,k_std_n_per_mm,r2_mean,rank_k_median
5 - FBF,FBF,10,9,7.673832834217698,8.9925647289501,2.366449970714019,0.9708399987597043,1.0
6 - Posterior Release,Posterior Release,11,9,8.163272660372403,8.224271672639102,2.0958819284357046,0.9766171064786524,2.0
4 - FUF Left,"FUF, left",9,8,8.14104564719648,7.891320574905549,5.0170358321800625,0.9639361544629472,3.0
7 - SPO,SPO,16,8,7.16065395276934,6.685605965559864,4.40885768666523,0.9778895447167694,4.0
3 - PUBF Left,"PUBF, left",9,6,6.597318119074687,5.454332097492064,3.4029641733582583,0.9707728893171419,5.0
2 - Intact Holding Longer,"intact, but holding",9,5,5.196789712743735,4.664397716701272,2.5851161773137945,0.9518527238219212,6.0
