cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
1,True,ok,2.358008395003134,6.172142943471379,0.9672039850738995,51.0,4.392997264391484,1.0871279532879188,5.480125217679403,7.58942264199967,19.099202139999836,fallback_initial_window,1.378249176540492,ok
2,False,no_valid_linear_window,,,,,,,,,,,3.3181195369533354,ok
3,True,ok,10.42983589697831,1.218839113015629,0.9825971482349751,104.0,2.0595160046992973,1.0016646681755923,3.06118067287489,12.181403035999045,33.84575368800125,strict_long_window,3.1557439615768375,ok
4,True,ok,5.3965903593914915,3.3362289886982506,0.9598434032651433,52.0,2.3730515923892908,1.0199381697868957,3.3929897621761866,8.710035140000416,21.94367212000065,fallback_initial_window,1.687545623190652,ok
5,True,ok,4.036230030040896,10.101947206047429,0.9474825533441852,40.0,2.009442992561986,1.0412962376743296,3.0507392302363154,12.716960527999989,23.62728708700017,fallback_best_r2,1.7391208726718028,ok
6,True,ok,5.174222269979622,-0.6750558608872553,0.9778189264925942,44.0,2.319416129953244,1.055727980131542,3.3751441100847863,4.1575326199998885,16.31341746799958,strict_initial_window,1.7723640608350586,ok
7,False,no_valid_linear_window,,,,,,,,,,,3.8522291472605645,ok
8,False,no_valid_linear_window,,,,,,,,,,,4.360683861970273,ok
9,True,ok,7.062382069391815,-6.716888154638417,0.9046654245693222,50.0,2.4533510585190315,3.001056723390169,5.4544077819092,15.469208996000496,35.3249852960001,fallback_initial_window,2.6623972706793033,ok
