cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode,flat_slope_thr_n_per_mm,flat_filter_reason
1,True,ok,7.952315912438054,-9.27949769691886,0.9721856151259587,56.0,4.258596944389016,1.7943274057924323,6.052924350181448,9.577002743000117,38.647056456999316,strict_initial_window,2.105088577239985,ok
2,True,ok,9.76419279766602,-23.984713302574065,0.9829791858990784,61.0,3.1306493261573034,3.6986539948358526,6.829303320993156,10.582227415999562,41.98551745599997,strict_initial_window,2.0116264579384726,ok
3,True,ok,4.026210658218968,1.8114867938007146,0.9756465357027072,22.0,2.82344505164048,2.350094874228877,5.173539925869357,12.104928704334608,23.643784055663644,strict_initial_window,1.8618482489284183,ok
4,True,ok,3.4310224794222184,9.611350735752227,0.9531931177915571,99.0,3.9568550952027,1.5437891168952895,5.500644212097989,13.114360433333205,28.407402600000466,fallback_initial_window,1.2554855363250879,ok
5,True,ok,3.7076423035731256,12.715825154148204,0.838394045015042,29.0,2.225518901300235,1.1521161807690867,3.3776350820693217,15.866044533333596,24.053229266333883,fallback_initial_window,1.3889709797882281,ok
7,True,ok,3.93433672798717,7.332648465020821,0.9456251599448854,50.0,3.9720508730420034,1.0318450733309652,5.003895946372968,12.097461438666526,27.67849056899975,fallback_initial_window,1.5007691736391149,ok
8,True,ok,9.369567177936908,10.313268949408636,0.9753056515682932,45.0,2.9372110084548773,1.0017389823820009,3.9389499908368784,19.91805952366577,46.688924299666056,strict_initial_window,3.0740185280872123,ok
9,False,no_valid_linear_window,,,,,,,,,,,4.064638002786867,ok
10,True,ok,19.18511914913247,-60.14273661154985,0.9547234810453269,50.0,2.015686929441165,3.7916716895925346,5.8073586190337,17.899284263332817,47.17201372266348,fallback_initial_window,2.8242622225705527,ok
