file_name,intervention,cycle,M_peak_dyn_Nm,theta_span_ramp_deg,old_dtheta_deg,new_dtheta_deg,old_k_sec,new_k_sec,new_reason,theta_at_m_low_deg,theta_at_m_high_deg,t_at_m_low_s,t_at_m_high_s,marker_reason
7 - SPO,SPO,1,13.264337114714492,5.885684334424185,2.2257759584772634,2.0622293296500787,1.347844552176946,1.4547363655762977,ok,0.6004553652738428,2.6626846949239216,1.0008909877468752,1.846058790755698,ok
7 - SPO,SPO,2,14.118480624975424,6.496146822078909,1.638783053614131,1.5231258015911253,1.830626691790518,1.969633760301392,ok,1.0447091128580346,2.56783491444916,1.0576902649679385,2.015054406040194,ok
7 - SPO,SPO,3,12.738389623150027,6.178997362115392,2.178969515976775,1.6635095325569533,1.3767975999678814,1.8034161760340195,ok,1.128615428268856,2.7921249608258094,1.3490122427576172,2.295530388451141,ok
7 - SPO,SPO,4,4.856795217162655,3.8367967556975735,3.2869040386041415,3.2869040386041415,0.9127129860700217,0.9127129860700217,ok,0.2541124979681341,3.5410165365722754,1.2978013767847703,3.2243161262854922,ok
7 - SPO,SPO,5,1.8767109898788699,2.1728594104151178,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,6,0.4543206551508781,0.026615790356110836,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,7,0.6569644710403837,0.16716331756170533,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,8,0.2909514005663824,0.03536651837712945,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,9,0.4500694089037195,0.026089424044489107,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,10,2.7748789201178883,3.8104977046277164,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,11,0.2789362667059197,0.0761047408251958,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,12,0.8281753138557942,0.17121243708507805,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,13,0.8281753138557942,0.2668411314064887,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
7 - SPO,SPO,14,11.09795380902656,5.757421964958461,1.0147016018408226,1.0147016018408226,2.9565342111981936,2.9565342111981936,ok,1.0798278509321606,2.094529452772983,0.9302023398652102,1.8212147481428878,ok
7 - SPO,SPO,15,12.435279658383449,5.572109211020917,2.0017883719526544,2.0017883719526544,1.4986599193168633,1.4986599193168633,ok,-0.06007395217806954,1.941714419774585,1.2445844244013546,2.4450343791318807,ok
7 - SPO,SPO,16,12.106011144274067,5.272040438730098,1.955006409251045,1.955006409251045,1.5345218234600508,1.5345218234600508,ok,-0.6215753341699822,1.3334310750810627,1.289277531482307,2.2346881741307105,ok
