file_name,intervention,cycle,M_peak_dyn_Nm,theta_span_ramp_deg,old_dtheta_deg,new_dtheta_deg,old_k_sec,new_k_sec,new_reason,theta_at_m_low_deg,theta_at_m_high_deg,t_at_m_low_s,t_at_m_high_s,marker_reason
5 - FBF,FBF,1,7.8453575293421105,4.144445380779025,1.3544126268201118,1.3544126268201118,2.214982303467885,2.214982303467885,ok,1.6653956489557533,3.019808275775865,0.528255583497509,1.6998011550720233,ok
5 - FBF,FBF,2,7.774703772779724,3.77885990022048,1.2320390846416973,1.2320390846416973,2.4349876861840487,2.4349876861840487,ok,1.492653230398061,2.7246923150397584,0.5839558333978044,1.342988556426919,ok
5 - FBF,FBF,3,9.107651312463133,4.303217022078559,1.8935494990151116,1.8935494990151116,1.5843261565437736,1.5843261565437736,ok,1.0295770862784566,2.923126585293568,0.6422950109768492,2.1518295327519046,ok
5 - FBF,FBF,4,4.148672452730439,3.1981064906686623,2.224087346898193,2.153025776874918,1.3488678869487423,1.3933878693985964,ok,0.9542883013815753,3.1073140782564934,2.027536513974535,7.769729293290861,ok
5 - FBF,FBF,5,4.598925004096658,3.0365606574410995,2.2710438587165425,2.2710438587165425,1.3209784515986494,1.3209784515986494,ok,0.5249815571681488,2.7960254158846913,1.2530807669630855,5.017223787392583,ok
5 - FBF,FBF,6,4.647978691365962,3.137759764480685,2.172744369513055,2.172744369513055,1.3807422732718186,1.3807422732718186,ok,0.2651584033169022,2.437902772829957,1.0156490933511069,2.968556398487984,ok
5 - FBF,FBF,7,2.127658119462464,1.0131583777277877,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
5 - FBF,FBF,8,8.087228532151272,2.9786667844837242,1.0849380592734357,1.1644901140556871,2.765134815170046,2.576234837710728,ok,0.1246129106996526,1.2891030247553397,1.7761488302448183,2.3348748083857767,ok
5 - FBF,FBF,9,8.592040551905146,3.2685329774850107,1.379763942880861,1.379763942880861,2.1742849677142506,2.1742849677142506,ok,1.31100570755354,2.690769650434401,0.4495685918785899,1.334081645404548,ok
5 - FBF,FBF,10,9.475777561533123,3.1083045591081464,1.2829041302117612,1.5942148935500766,2.338444416345287,1.881804022868869,ok,-0.15671152795116336,1.4375033655989133,1.4961263625615921,2.0906129461950154,ok
