file_name,intervention,cycle,valid,reason,M_peak_dyn_Nm,theta_span_ramp_deg,k_linear_nm_per_deg,intercept_nm,r2,fit_n_points,fit_span_deg,fit_theta0_deg,fit_theta1_deg,fit_m0_nm,fit_m1_nm,fit_selection_mode,flat_slope_thr_nm_per_deg,flat_filter_reason
6 - Posterior Release,Posterior Release,1,True,ok,9.47182541736944,4.555260390526123,2.550958536303654,-3.074872247393272,0.9746114400481605,60.0,2.2932691018909646,1.2898597498620832,3.5831288517530475,1.1479823187644904,6.396938221216479,strict_initial_window,0.6766446882011307,ok
6 - Posterior Release,Posterior Release,2,True,ok,9.436631908428211,4.938136439735615,2.068053558369286,-0.831732417762396,0.976150142536461,49.0,3.236873815702786,0.4781814247189633,3.715055240421749,0.7670798778,7.805620503903301,strict_initial_window,0.6354013973728374,ok
6 - Posterior Release,Posterior Release,3,True,ok,10.45356474677272,4.600193786338262,2.2180932686637873,0.776706323781782,0.9924273896774328,59.0,2.7988746027288767,0.45535761614062154,3.254232218869498,2.0380249800508023,8.355666946359225,strict_initial_window,0.717229192250394,ok
6 - Posterior Release,Posterior Release,4,True,ok,5.287859465446045,4.208207583639188,2.4573019880168783,-0.43512785848086616,0.9720434269023731,24.0,0.9409441945443822,0.8406515074608052,1.7815957020051874,1.4942745734251415,3.6960752658190223,strict_initial_window,0.3872399525555072,ok
6 - Posterior Release,Posterior Release,6,True,ok,5.468090485056268,3.6697883858989524,0.9831994353514705,1.6149073718295046,0.9512138923372786,29.0,1.5732524115495732,0.46090812278792603,2.034160534337499,2.0562385490620776,3.4953104107014665,fallback_initial_window,0.32562794824189384,ok
6 - Posterior Release,Posterior Release,7,False,no_valid_linear_window,6.354698386387663,3.8835178327671938,,,,,,,,,,,0.3061951597907866,ok
6 - Posterior Release,Posterior Release,8,False,too_few_points_after_toe_cut,1.2532561486283897,0.5957249979863095,,,,,,,,,,,,
6 - Posterior Release,Posterior Release,9,True,ok,12.207943233873952,4.821698002805978,2.323709930982122,0.1872232722783044,0.9874603066562664,72.0,3.317292181233532,0.47330929910435154,3.7906014803378834,1.604054606422349,9.069204438224508,strict_initial_window,0.7606200023115527,ok
6 - Posterior Release,Posterior Release,10,True,ok,13.408084678362151,5.563115981188772,2.082173844601006,1.7742502890220602,0.9611786316192975,38.0,0.8775592927422751,0.5596582329065427,1.4372175256488178,2.74548449051545,4.522588037968539,fallback_initial_window,0.6864532875368334,ok
6 - Posterior Release,Posterior Release,11,True,ok,13.275417061436242,4.09492627152122,2.496127861874974,4.532296704039666,0.9598180807966743,25.0,1.1349806241427687,0.45728478735886824,1.592265411501637,5.798620152064985,8.469784908765758,fallback_best_r2,0.8143562736322033,ok
6 - Posterior Release,Posterior Release,12,True,ok,14.950472227619805,5.944029368816296,2.569427913810172,6.019627329313322,0.9720477417274197,45.0,1.2897645969468685,1.958799719239406,3.2485643161862745,10.612542588201254,14.724100829132716,strict_long_window,1.0382425200251764,ok
