file_name,intervention,cycle,valid,reason,M_peak_dyn_Nm,theta_span_ramp_deg,k_linear_nm_per_deg,intercept_nm,r2,fit_n_points,fit_span_deg,fit_theta0_deg,fit_theta1_deg,fit_m0_nm,fit_m1_nm,fit_selection_mode,flat_slope_thr_nm_per_deg,flat_filter_reason
3 - PUBF Left,"PUBF, left",1,True,ok,4.330413090078238,3.0709927323498145,0.7156731547285667,0.8139204899555705,0.9672039850738994,51.0,1.908699496945084,0.4723427884590358,2.3810422854041198,1.0008171638004966,2.5186117862017787,fallback_initial_window,0.4183089162307548,ok
3 - PUBF Left,"PUBF, left",2,False,no_valid_linear_window,4.643540309940346,1.4862709810208128,,,,,,,,,,,1.0070740552960271,ok
3 - PUBF Left,"PUBF, left",3,True,ok,4.463239538836725,1.504682985742474,3.165533072532507,0.16072831383337174,0.9825971482349751,104.0,0.8948325995974457,0.43521011582492986,1.3300427154223755,1.6063616183571943,4.463239538836725,strict_long_window,0.9577918557386292,ok
3 - PUBF Left,"PUBF, left",4,True,ok,3.3588519122920926,1.7881949550147618,1.6379054694919113,0.43994851673963814,0.9598434032651432,52.0,1.0310596861356314,0.4431497117849905,1.474209397920622,1.148592333911855,2.893712042464486,fallback_initial_window,0.5121826972527098,ok
3 - PUBF Left,"PUBF, left",5,True,ok,3.115730348162712,1.5764835117437164,1.2250259519562503,1.3321437780614744,0.9474825533441852,40.0,0.8730765348141342,0.45242951119731967,1.3255060460114538,1.6769855848273585,3.115730348162712,fallback_best_r2,0.5278361705737996,ok
3 - PUBF Left,"PUBF, left",6,True,ok,2.8309370642417204,1.6709314593050306,1.5704150939709431,-0.08901961637520255,0.9778189264925942,44.0,1.0077557835814648,0.4586999133647424,1.4664556969462073,0.5482538265993854,2.151250361505105,strict_initial_window,0.5379257264025445,ok
3 - PUBF Left,"PUBF, left",7,False,no_valid_linear_window,3.9658974339598148,1.2922829453618667,,,,,,,,,,,1.1691803101293192,ok
3 - PUBF Left,"PUBF, left",8,False,no_valid_linear_window,5.827896066889136,1.568926210729474,,,,,,,,,,,1.323500112588049,ok
3 - PUBF Left,"PUBF, left",9,True,ok,6.711798638906531,2.8689668824465,2.1434856916586105,-0.8857560409521696,0.9046654245693222,50.0,1.0659487473807048,1.3039196506378736,2.3698683980185784,2.0399245903025855,4.658305810983534,fallback_initial_window,0.8080574513159224,ok
