file_name,intervention,cycle,valid,reason,M_peak_dyn_Nm,theta_span_ramp_deg,k_linear_nm_per_deg,intercept_nm,r2,fit_n_points,fit_span_deg,fit_theta0_deg,fit_theta1_deg,fit_m0_nm,fit_m1_nm,fit_selection_mode,flat_slope_thr_nm_per_deg,flat_filter_reason
7 - SPO,SPO,1,True,ok,13.264337114714492,5.885684334424185,2.331988856922357,-2.159187308289475,0.9873706460917373,44.0,3.5119280250605334,1.1402343801633388,4.652162405223872,1.3153026951689326,9.101946951125049,strict_initial_window,0.6892500274770976,ok
7 - SPO,SPO,2,True,ok,14.118480624975424,6.496146822078909,2.8057324792363403,-3.3337509835929655,0.9949612530493297,48.0,3.322036373312432,1.4161658481315373,4.738202221443969,1.1449056057717513,10.586617341899387,strict_initial_window,0.6994729604109371,ok
7 - SPO,SPO,3,True,ok,12.738389623150027,6.178997362115392,2.4959562095067906,-2.218595128580124,0.9726481119460785,52.0,3.6949336824288164,1.1206024441900855,4.815536126618902,1.0942454682726785,9.71128648546678,strict_initial_window,0.6456947572864932,ok
7 - SPO,SPO,4,True,ok,4.856795217162655,3.8367967556975735,0.8116167192661421,1.028379941371127,0.9708022121217049,31.0,1.6459164952045633,1.9512823312477163,3.5971988264522796,2.628911596848557,4.076579438196339,strict_long_window,0.30350746682885116,ok
7 - SPO,SPO,5,False,no_valid_linear_window,1.8767109898788699,2.1728594104151178,,,,,,,,,,,0.30350746682885116,ok
7 - SPO,SPO,6,False,too_few_points_after_toe_cut,0.4543206551508781,0.026615790356110836,,,,,,,,,,,,
7 - SPO,SPO,7,False,too_few_points_after_toe_cut,0.6569644710403837,0.16716331756170533,,,,,,,,,,,,
7 - SPO,SPO,8,False,too_few_points_after_toe_cut,0.2909514005663824,0.03536651837712945,,,,,,,,,,,,
7 - SPO,SPO,9,False,too_few_points_after_toe_cut,0.4500694089037195,0.026089424044489107,,,,,,,,,,,,
7 - SPO,SPO,10,True,ok,2.7748789201178883,3.8104977046277164,0.9479753986819904,-1.6125252683109288,0.9707125481997456,25.0,2.1439696279235747,1.425045840297329,3.5690154682209037,0.0,1.6654715429449165,strict_initial_window,0.30350746682885116,ok
7 - SPO,SPO,11,False,too_few_points_after_toe_cut,0.2789362667059197,0.0761047408251958,,,,,,,,,,,,
7 - SPO,SPO,12,False,too_few_points_after_toe_cut,0.8281753138557942,0.17121243708507805,,,,,,,,,,,,
7 - SPO,SPO,13,False,too_few_points_after_toe_cut,0.8281753138557942,0.2668411314064887,,,,,,,,,,,,
7 - SPO,SPO,14,True,ok,11.09795380902656,5.757421964958461,5.110018102760272,-6.715769038619712,0.9702620363955741,20.0,0.8929530581008711,1.6379811946808331,2.5309342527817043,2.2195236415309973,5.998419589989201,strict_initial_window,0.6359423207107604,ok
7 - SPO,SPO,15,True,ok,12.435279658383449,5.572109211020917,1.021086667368874,1.9914258794064768,0.972587689477402,29.0,2.816898208508139,1.2976811712640899,4.114579379772229,3.115487231927649,6.687415773882961,strict_initial_window,0.643085631836968,ok
7 - SPO,SPO,16,True,ok,12.106011144274067,5.272040438730098,1.383516974873599,1.8586240625024175,0.9711822069059035,28.0,2.8212315862111383,0.9410812257174079,3.7623128119285463,2.7830404355180094,7.272238915815165,strict_initial_window,0.732158896393427,ok
