file_name,intervention,cycle,valid,reason,M_peak_dyn_Nm,theta_span_ramp_deg,k_linear_nm_per_deg,intercept_nm,r2,fit_n_points,fit_span_deg,fit_theta0_deg,fit_theta1_deg,fit_m0_nm,fit_m1_nm,fit_selection_mode,flat_slope_thr_nm_per_deg,flat_filter_reason
5 - FBF,FBF,1,True,ok,7.8453575293421105,4.144445380779025,2.450664899590001,-3.287815109245675,0.9735594368574971,49.0,1.8350996876767027,1.4832185711919421,3.318318258868645,0.9377968357724538,5.284696374306529,strict_initial_window,0.6423038453544284,ok
5 - FBF,FBF,2,True,ok,7.774703772779724,3.77885990022048,2.4811991193228256,-2.718944999532636,0.9875430965551576,53.0,2.12927000901053,1.2678570205890096,3.39712702959954,0.6890425387482002,5.892477904906475,strict_initial_window,0.6235911486713246,ok
5 - FBF,FBF,3,True,ok,9.107651312463133,4.303217022078559,1.8984935479790652,-1.3511903148268782,0.9710292762525152,70.0,2.704629901406342,0.8449497675094155,3.549579668915758,0.8602841372959148,5.705695090194634,strict_initial_window,0.645531424862475,ok
5 - FBF,FBF,4,True,ok,4.148672452730439,3.1981064906686623,1.0498231207240507,0.13263674315389695,0.8108844969469278,56.0,0.9908272070985273,0.450589380623007,1.4414165877215344,0.6108812975456062,1.8804253872900858,fallback_initial_window,0.3881575011178368,ok
5 - FBF,FBF,5,True,ok,4.598925004096658,3.0365606574410995,1.2120697815869694,0.4937613255421858,0.9709735438678766,51.0,1.7026796012802785,0.4408394739135104,2.143519075193789,0.89527543141612,2.8980731555861086,strict_initial_window,0.44096623572518545,ok
5 - FBF,FBF,6,True,ok,4.647978691365962,3.137759764480685,0.9385432300564746,1.657350796448156,0.9630250988110427,34.0,1.5839530106572237,0.717189653375533,2.301142664032757,2.1628723957306204,3.7074078037235134,fallback_initial_window,0.3716701261425156,ok
5 - FBF,FBF,7,False,no_valid_linear_window,2.127658119462464,1.0131583777277877,,,,,,,,,,,0.30350746682885116,ok
5 - FBF,FBF,8,True,ok,8.087228532151272,2.9786667844837242,2.8507236228736037,0.666231177729033,0.9635197315853703,44.0,1.3010213921608969,0.6823337369875699,1.9833551291484668,2.907281073415165,6.358447925395604,fallback_initial_window,0.8510786538790215,ok
5 - FBF,FBF,9,True,ok,8.592040551905146,3.2685329774850107,1.9943796519290258,-1.5609328445883723,0.9748516750602342,38.0,1.4319272034387798,1.3101912018363577,2.7421184052751375,0.9581449017470725,4.473052894648555,strict_initial_window,0.7886143977518931,ok
5 - FBF,FBF,10,True,ok,9.475777561533123,3.1083045591081464,2.4457126358425962,0.8272347692940101,0.9827994267126625,48.0,1.9271081146154563,0.5070327902065461,2.4341409048220024,2.334017576341138,7.044834982656985,strict_initial_window,0.8776969101122373,ok
