file_name,intervention,cycle,M_peak_dyn_Nm,theta_span_ramp_deg,old_dtheta_deg,new_dtheta_deg,old_k_sec,new_k_sec,new_reason,theta_at_m_low_deg,theta_at_m_high_deg,t_at_m_low_s,t_at_m_high_s,marker_reason
6 - Posterior Release,Posterior Release,1,9.47182541736944,4.555260390526123,1.7365516346023373,1.7365516346023373,1.7275616458631746,1.7275616458631746,ok,1.0853841789916991,2.8219358135940364,1.2839927180444892,2.4221963834431826,ok
6 - Posterior Release,Posterior Release,2,9.436631908428211,4.938136439735615,1.7104925930110515,1.7104925930110515,1.7538807313505957,1.7538807313505957,ok,0.7560745964001783,2.4665671894112298,2.092186122387051,2.7876718857630265,ok
6 - Posterior Release,Posterior Release,3,10.45356474677272,4.600193786338262,1.417272143106568,1.417272143106568,2.116742373433091,2.116742373433091,ok,0.060492015371937824,1.477764158478506,1.4747234476745084,2.1402133400002925,ok
6 - Posterior Release,Posterior Release,4,5.287859465446045,4.208207583639188,1.8851570526719064,1.1803409215032694,1.5913793472793067,2.5416385599672613,ok,0.8106024562121421,1.9909433777154115,1.690373019825437,2.708421386646663,ok
6 - Posterior Release,Posterior Release,6,5.468090485056268,3.6697883858989524,2.9589793904257684,2.9589793904257684,1.013863094047549,1.013863094047549,ok,0.23111153049864389,3.1900909209244124,0.585441579062243,2.738263470630295,ok
6 - Posterior Release,Posterior Release,7,6.354698386387663,3.8835178327671938,1.3977176475725122,1.3977176475725122,2.1463562438452812,2.1463562438452812,ok,-0.8038299214532543,0.5938877261192578,1.258880496481577,2.344141504775712,ok
6 - Posterior Release,Posterior Release,8,1.2532561486283897,0.5957249979863095,,,,,mhigh_not_reached_on_final_climb,,,,,mhigh_not_reached_on_final_climb
6 - Posterior Release,Posterior Release,9,12.207943233873952,4.821698002805978,1.5818116189078721,1.5818116189078721,1.8965595928997447,1.8965595928997447,ok,-0.019041718970017767,1.5627698999378543,1.1170125490143328,2.2963923419870778,ok
6 - Posterior Release,Posterior Release,10,13.408084678362151,5.563115981188772,0.8872435632226493,0.8872435632226493,3.3812586806529077,3.3812586806529077,ok,0.11921794835039848,1.0064615115730478,0.8205209815257326,2.149616025273817,ok
6 - Posterior Release,Posterior Release,11,13.275417061436242,4.09492627152122,0.5198603922114846,-0.75855740222692,5.77078008816561,,dtheta_too_small,0.6143752352194038,-0.14418216700751615,0.7468659555312139,1.236503278537934,ok
6 - Posterior Release,Posterior Release,12,14.950472227619805,5.944029368816296,0.04395962036203701,0.04395962036203701,68.24444741089629,,dtheta_too_small,-0.09481955811201309,-0.05085993774997608,1.6480423158568225,2.159879063632353,ok
