file_name,intervention,cycle,valid,reason,M_peak_dyn_Nm,theta_span_ramp_deg,k_linear_nm_per_deg,intercept_nm,r2,fit_n_points,fit_span_deg,fit_theta0_deg,fit_theta1_deg,fit_m0_nm,fit_m1_nm,fit_selection_mode,flat_slope_thr_nm_per_deg,flat_filter_reason
6 - Posterior Release,Posterior Release,1,True,ok,9.469884515124694,4.5115248270959,2.484876775828748,-1.9144534141203362,0.9739710647090816,61,2.3599822673866173,0.8487686531554754,3.208750920542093,1.1025429492414687,6.359152530993535,strict_initial_window,0.6627169634280493,ok
6 - Posterior Release,Posterior Release,2,True,ok,8.956253178940104,4.5738286134006545,1.758404457427983,-0.47947648585274383,0.9760901428975715,67,3.6174500599771884,0.024116560969865697,3.6415666209470543,0.0,6.87962181071811,strict_initial_window,0.5907606454374088,ok
6 - Posterior Release,Posterior Release,3,True,ok,9.77220416691577,4.2198356468664775,2.2020768952332843,1.2357263916366468,0.9968009540062459,55,2.763110492809063,0.027667055848489833,2.790777548657553,1.3678711305316313,7.652195979502463,strict_initial_window,0.7203344847102832,ok
6 - Posterior Release,Posterior Release,4,True,ok,5.045231048565746,4.076727200415865,2.4138199910879155,-1.3120051055122948,0.9706797038156171,24,0.9582402216825565,1.181090735202747,2.1393309568853036,1.3179077104798262,3.5901059255813785,strict_initial_window,0.3468109571569662,ok
6 - Posterior Release,Posterior Release,5,True,ok,5.095716948619904,3.8909109919899585,1.2858975966287347,0.8942813282174973,0.9707545170649239,44,1.6234613158382647,0.3794298628414649,2.0028911786797297,1.1161240263101548,3.2627019961678165,strict_initial_window,0.4205920119275914,ok
6 - Posterior Release,Posterior Release,6,True,ok,5.796761151931594,3.625268352297195,2.724963009097445,1.1398979590134666,0.959596727264083,24,0.89283844948147,0.0051744283617662975,0.8980128778432362,1.004416965217657,3.250613344976011,fallback_initial_window,0.4157646096939916,ok
6 - Posterior Release,Posterior Release,7,True,ok,11.996713903649566,4.766870757333814,2.170537488255396,0.6797685420517128,0.9914229824510148,122,3.6277424096582838,0.002641170373823858,3.630383580032108,0.6279564829810734,8.835591445272058,strict_initial_window,0.7454511548202709,ok
6 - Posterior Release,Posterior Release,8,True,ok,13.239318024750535,5.6437201612275905,4.539549713639569,-0.3257978979431046,0.8892079962037759,69,0.8760925579877626,0.3367864964808144,1.212879054468577,1.7623030729964415,4.501540021740678,fallback_initial_window,0.7071626122466736,ok
6 - Posterior Release,Posterior Release,9,True,ok,11.631426322086162,3.545170123519447,2.270174139971509,3.1383441761887148,0.9892836543466577,53,2.270677655240532,0.5103279932623274,2.7810056485028594,3.8352766361475923,9.551428687632592,strict_initial_window,0.9842765720821711,ok
6 - Posterior Release,Posterior Release,10,True,ok,13.974976944286576,3.825031091806304,4.7834351402155315,-0.9168090932149071,0.8695816835100072,34,1.4162808096581307,0.02920874903229196,1.4454895586904226,0.0,5.327103411368852,fallback_initial_window,1.0960677136106993,ok
