file_name,intervention,n_cycles,n_valid,k_mean_nm_per_deg,k_median_nm_per_deg,k_std_nm_per_deg,r2_mean
2 - Intact Holding Longer,"intact, but holding",9,8,1.66415754547941,1.2174329191898074,1.2865890006337504,0.9182421158974212
3 - PUBF Left,"PUBF, left",9,9,2.2611994187038156,2.1760403460950144,0.8804961507144662,0.9771629772479926
4 - FUF Left,"FUF, left",9,9,2.3827476710109416,2.476037971835124,1.3885352650460825,0.9734989087609738
5 - FBF,FBF,9,9,1.97113926450511,2.150667874092332,0.5012086401982749,0.9780163798285592
6 - Posterior Release,Posterior Release,10,10,2.6633735207386113,2.3419970655297124,1.0695478627004955,0.958738942626898
7 - SPO,SPO,9,6,2.135711475227619,2.47609855595443,0.6787837738361617,0.9889929693148126
