cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n
1,True,ok,6.2882978289215306,14.363321050699577,0.9726761175378249,23.0,1.0311774661085495,3.6483506720898013,4.679528138198351,37.71609411533302,44.076287236667184
2,True,ok,16.46693797634915,12.116160165339133,0.9154105699588627,33.0,1.2327301884571684,1.01835046378912,2.2510806522462885,30.16323633733345,47.80810398100061
3,True,ok,10.351188858409035,6.548808674281763,0.9734257106580408,40.0,1.0154897248946604,1.8223839412075011,2.8378736661021615,24.573727901998907,35.20443353333269
4,True,ok,4.664397716701272,10.225671798925458,0.9142184819994137,148.0,3.220042257245656,1.0503864319251184,4.270428689170775,14.077850120000575,29.587143041001386
5,True,ok,7.146571450819426,-1.0665046269688958,0.9715460714381875,45.0,1.3142023663864326,1.1233848788720846,2.437587245258517,7.58574962866685,15.874507137333122
6,True,ok,2.9346356001360214,9.743062034610917,0.9620715062916044,79.0,2.9464371237490816,1.2033119443000784,4.14974906804916,12.782444698666826,21.385364100999833
7,True,ok,7.501064247208496,8.975476361315746,0.9927925945801268,40.0,1.3287186974334917,2.2870133834346396,3.6157320808681312,26.281332180334218,35.76737231733475
8,False,too_few_points_after_toe_cut,,,,,,,,,
9,True,ok,7.509512820732474,-29.28578226819283,0.979636029673029,32.0,1.0652775704141808,5.200564922539752,6.265842492953933,10.056625696666782,17.834924896666642
