cycle,valid,reason,k_linear_n_per_mm,intercept_n,r2,fit_n_points,fit_span_mm,fit_x0_mm,fit_x1_mm,fit_f0_n,fit_f1_n,fit_selection_mode
1,True,ok,5.876263595135676,16.924222659247928,0.8955790680845858,48.0,2.008953758733037,2.933560999596421,4.942514758329458,37.71609411533302,47.79865023433289,fallback_best_r2
2,False,no_valid_linear_window,,,,,,,,,,
3,True,ok,9.510565394285228,7.211776581106515,0.9503368988956948,146.0,3.3443676815619003,1.7018794478609565,5.046247129422857,18.852502368665053,51.68001824799935,strict_long_window
4,True,ok,4.664397716701272,10.225671798925458,0.9142184819994137,148.0,3.220042257245656,1.0503864319251184,4.270428689170775,14.077850120000575,29.587143041001386,fallback_best_r2
5,True,ok,2.075080731088197,10.88262495673447,0.9502931817796125,59.0,2.944782673940295,2.212164964456282,5.156947638396577,14.16842653666612,22.052835776334085,strict_long_window
6,True,ok,2.690278197258204,10.296262252480524,0.9614657852758226,127.0,3.150280010860233,1.2033119443000784,4.3535919551603115,12.782444698666826,21.74487792466654,strict_long_window
7,True,ok,7.989900352691192,7.130144794255721,0.9583457084004823,86.0,2.016888412350904,2.246471345817659,4.263359758168563,16.458712099669572,40.002633451001024,strict_long_window
8,False,too_few_points_after_toe_cut,,,,,,,,,,
9,True,ok,8.571455529319543,-34.34790821875078,0.9504857957036466,68.0,2.7739338559115607,4.082518978802906,6.856452834714466,3.7677900000000006,22.606730000000002,strict_long_window
