metric,condition,n_cycles,n_modes,dominant_mode,dominant_mode_share,mode_r2_within_condition,cv_pct,mean_value,std_value,mean_r2,mean_fit_span
k_rot,Intact,8,3,fallback_initial_window,0.625,0.7759399645485058,82.64971668681365,1.66415754547941,1.3754214965609644,0.9182421158974212,1.0240199021915775
k_rot,PUF Left,9,3,strict_initial_window,0.7777777777777778,0.6699992554323523,41.30140803784655,2.2611994187038156,0.9339071984682771,0.9771629772479926,1.2809551260498402
k_rot,FUF Left,9,3,strict_initial_window,0.6666666666666666,0.21535331328055293,61.8094845150456,2.3827476710109416,1.4727640527461177,0.9734989087609738,1.3863341827693387
k_rot,FBF,9,1,strict_initial_window,1.0,0.0,26.969786051301845,1.9711392645051096,0.5316120424102329,0.9780163798285592,2.2056680871249115
k_rot,Posterior Release,10,2,strict_initial_window,0.7,0.6854367353144394,42.329865818203054,2.6633735207386118,1.1274024375662048,0.958738942626898,2.040587623971987
k_rot,SPO,6,1,strict_initial_window,1.0,0.0,34.81604972496828,2.1357114752276196,0.7435703691971016,0.9889929693148126,3.339596674699672
k_lin,Intact,8,3,fallback_initial_window,0.625,0.7759399645485057,82.64971668681376,5.4830860105917365,4.531755053448389,0.9182421158974212,2.356849067236624
k_lin,PUF Left,9,3,strict_initial_window,0.7777777777777778,0.6699992554323515,41.30140803784651,7.4502266528385395,3.0770485096332396,0.9771629772479926,2.9482023616350848
k_lin,FUF Left,9,3,strict_initial_window,0.6666666666666666,0.21535331328055327,61.80948451504557,7.850705275579205,4.852480461630994,0.9734989087609738,3.1907391824567193
k_lin,FBF,9,1,strict_initial_window,1.0,0.0,26.969786051301842,6.4945330179195935,1.751561659964071,0.9780163798285592,5.076489980954878
k_lin,Posterior Release,10,2,strict_initial_window,0.7,0.6854367353144384,42.32986581820305,8.775314652276734,3.7145789174338524,0.958738942626898,4.696546451763418
k_lin,SPO,6,1,strict_initial_window,1.0,6.308647778231186e-31,34.81604972496828,7.036767488926242,2.449924467974962,0.9889929693148126,7.686301106909472
