file_name,intervention,cycle,t_start_s,t_peak_s,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,theta_ref_mode,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant,exclude_transition
7 - SPO,SPO,4,156.96903333333333,160.56910933333333,10.73333333333332,-0.3879595036347272,6.364919966666757,5.558713824017616,3,force_zero_band,43.19509526933343,6.004118242437347,36.830175302666674,5.119394367070668,2.0,5.0,0.5106486732206333,3.8499961425333233,0.8983791077654656,True,True
7 - SPO,SPO,5,184.60294933333333,187.70297933333333,10.73333333333332,-0.3879595036347272,12.16269,5.754601162396709,10,preramp_median_fallback,26.39421339333336,3.668795661673337,14.231523393333358,1.9781817516733369,2.0,5.0,,,,False,True
7 - SPO,SPO,10,206.96994633333333,209.7365443333333,10.73333333333332,-0.3879595036347272,7.795733052666138,3.238638780303149,10,preramp_median_fallback,28.838266760999257,4.008519079778897,21.04253370833312,2.924912185458304,2.0,5.0,,,,False,True
