file_name,intervention,M_peak_Nm,F_peak_N,F_eng_N,n_cycles,th_ramp@2.0,th_eng@2.0,th_ramp@3.0,th_eng@3.0,th_ramp@4.0,th_eng@4.0,th_ramp@5.0,th_eng@5.0,n_reach@2.0,n_reach@3.0,n_reach@4.0,n_reach@5.0
2 - Intact Holding Longer,Intact Holding,5.560366049689143,51.68001824799935,12.0,9,0.48035095677242734,0.054915861728516785,1.1876472109215743,0.3923104635878667,1.214271936281887,0.20827839585785124,1.9062778423720286,1.1001518752883315,9,9,7,6
3 - PUBF Left,PUBF Left,4.564551600218967,50.8970853029994,12.0,9,0.6854953248665527,0.05527155347332299,1.202041958311388,0.49089829819422526,1.2742621495609647,0.8326580655673873,1.7066251181248584,1.0440388992279743,9,8,6,2
4 - FUF Left,FUF Left,7.103978404672945,60.50501355999873,12.0,9,0.830261553915946,0.024902491290479063,1.5741364803267113,0.6401390155158613,2.1410616651047647,0.8916414073181229,2.2325504298200536,1.1080389910762911,9,9,9,7
5 - FBF,FBF,8.23230651776346,71.85696186799971,12.0,10,1.1314960836503747,0.10842062277142903,2.05069858637617,0.6395147021048287,2.607519691970928,1.1882193757916892,2.6132534961666676,1.3037221150166398,10,9,9,6
6 - Posterior Release,Posterior Release,9.98395186937402,113.37280827799958,12.0,11,0.6820581200592464,0.09210036175827338,0.676901386519114,0.5507380067597135,1.0388355875529371,0.9940267518372834,2.3038855420909625,1.6726316550406257,10,10,10,10
7 - SPO,SPO,2.45154696856582,107.0636280046669,10.269457018000008,16,1.424306471788164,0.14689953607433723,2.191468711873556,0.8843692847669509,2.5202820894206153,1.153096082480276,2.9371342924909176,1.531372799441796,8,7,7,7
