file_name,intervention,cycle,F_preload_start_N,M_peak_Nm,F_peak_N,F_eng_N,th_ramp@2.0,th_eng@2.0,th_ramp@3.0,th_eng@3.0,th_ramp@4.0,th_eng@4.0,th_ramp@5.0,th_eng@5.0
2 - Intact Holding Longer,Intact Holding,1,3.0941044499996475,6.941137553905068,49.936241395000486,12.0,0.21590779904130117,0.054915861728516785,0.2794282998728647,0.11843636256008033,0.3030434335456262,0.1420514962328418,0.5229450315961016,0.3619530942833173
2 - Intact Holding Longer,Intact Holding,2,3.502215282332818,6.7463494519698015,48.53488814366764,12.0,0.3432188226571312,-0.04810730182883231,0.30055921638032373,-0.09076690810563984,0.44962721413954476,0.05830108965358123,0.7699078952294892,0.37858177074352567
2 - Intact Holding Longer,Intact Holding,3,1.1255750046671706,7.1835225364719095,51.68001824799935,12.0,1.0391288046000557,0.01944756913850413,1.0471563762507057,0.02747514078915396,1.214271936281887,0.1945907008203352,2.534164913959362,1.5144836784978102
2 - Intact Holding Longer,Intact Holding,4,2.4587416266656255,4.112612882699192,29.587143041001386,12.0,0.48035095677242734,0.13616793307245453,1.1876472109215743,0.8434641872216018,1.8775528348946813,1.5333698111947085,,
2 - Intact Holding Longer,Intact Holding,5,1.5369377100003803,3.702338762017912,26.635530661999365,12.0,0.4761750983329177,0.1625150314250097,1.753658247545377,1.439998180637469,,,,
2 - Intact Holding Longer,Intact Holding,6,4.257678562000294,3.022538031528649,21.74487792466654,12.0,0.7570254353005711,0.27360135111371425,1.9689750525026875,1.4855509683158306,,,,
2 - Intact Holding Longer,Intact Holding,7,1.9039737826658178,5.560366049689143,40.002633451001024,12.0,2.0209998544231804,0.0199302843642059,2.0545720402053367,0.05350247014636196,2.209347965916826,0.20827839585785124,2.7066777486901077,0.705608178631133
2 - Intact Holding Longer,Intact Holding,8,4.457709648665872,5.930013733580448,42.66196930633416,12.0,-0.20188231957321925,0.014422481587615742,0.2666178229918832,0.4829226241527182,0.7650557599062131,0.9813605610670482,1.278390770784695,1.4946955719455302
2 - Intact Holding Longer,Intact Holding,9,6.34575,5.018199795663337,36.10215680333336,12.0,2.1313038313892494,0.1530767347891616,2.370537560187955,0.3923104635878667,3.5141988350517677,1.5359717384516798,3.5988172627183816,1.6205901661182938
3 - PUBF Left,PUBF Left,1,1.38658004000018,4.564551600218967,32.83850072099976,12.0,1.6134577778800945,0.5946513845703253,2.6167428750059956,1.5979364816962263,2.8118106799842715,1.793004286674502,,
