file_name,intervention,cycle,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
2 - Intact Holding Longer,"intact, but holding",1,10.766666666666653,-0.5808139799509149,3.0941044499996475,-0.21142911081826438,10,53.030345845000134,7.371218072455019,49.936241395000486,6.941137553905068,2.0,5.0,0.21247851946492316,0.5195157520197237,9.770801980715987,True
2 - Intact Holding Longer,"intact, but holding",2,10.766666666666653,-0.5808139799509149,3.502215282332818,-0.043298632239279544,10,52.037103426000456,7.233157376214064,48.53488814366764,6.7463494519698015,2.0,5.0,0.34152518774790463,0.7682142603202626,7.030880781441291,True
2 - Intact Holding Longer,"intact, but holding",3,10.766666666666653,-0.5808139799509149,1.1255750046671706,-0.9857825061368872,10,52.80559325266652,7.339977462120646,51.68001824799935,7.1835225364719095,2.0,5.0,0.8934807242967496,2.388516833656056,2.006640495984837,True
2 - Intact Holding Longer,"intact, but holding",4,10.766666666666653,-0.5808139799509149,2.4587416266656255,0.030198991038654366,10,32.04588466766701,4.454377968805715,29.587143041001386,4.112612882699192,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",5,10.766666666666653,-0.5808139799509149,1.5369377100003803,-0.10854827617057894,10,28.172468371999745,3.9159731037079646,26.635530661999365,3.702338762017912,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",6,10.766666666666653,-0.5808139799509149,4.257678562000294,-0.1900977386856506,10,26.002556486666833,3.61435535164669,21.74487792466654,3.022538031528649,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",7,10.766666666666653,-0.5808139799509149,1.9039737826658178,0.38382794972680107,10,41.90660723366684,5.825018405479691,40.002633451001024,5.560366049689143,2.0,5.0,0.9875096347298639,1.673187528996791,4.375232197338612,True
2 - Intact Holding Longer,"intact, but holding",8,10.766666666666653,-0.5808139799509149,4.457709648665872,1.7732055724194162,10,47.119678955000026,6.549635374745004,42.66196930633416,5.930013733580448,2.0,5.0,-1.647644195803324,-0.16737110544541,2.0266530679650687,True
2 - Intact Holding Longer,"intact, but holding",9,10.766666666666653,-0.5808139799509149,6.34575,-0.2551520110152002,10,42.44790680333336,5.900259045663337,36.10215680333336,5.018199795663337,2.0,5.0,0.5968664909188566,2.064379922247989,2.044274305062332,True
3 - PUBF Left,"PUBF, left",1,12.24999999999999,-0.5923902805897615,1.38658004000018,0.10389149963195846,10,34.225080760999944,4.757286225778992,32.83850072099976,4.564551600218967,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",2,12.24999999999999,-0.5923902805897615,-0.2942507600005595,0.10453723741947987,10,34.91876440599888,4.853708252433844,35.21301516599944,4.894609108073921,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",3,12.24999999999999,-0.5923902805897615,2.1671335440003205,0.05997015972951131,10,36.012887232001574,5.005791325248219,33.84575368800125,4.704559762632174,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",4,12.24999999999999,-0.5923902805897615,5.061159040000007,0.1402377749942341,10,30.53209186999995,4.243960769929993,25.470932829999942,3.540459663369992,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",5,12.24999999999999,-0.5923902805897615,-0.6973577470001293,0.06709379293789958,10,22.92992934000004,3.1872601782600056,23.62728708700017,3.2841929050930236,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",6,12.24999999999999,-0.5923902805897615,3.717054721000075,-0.0017253899170159293,10,25.18469,3.50067191,21.467635278999925,2.9840013037809894,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",7,12.24999999999999,-0.5923902805897615,3.0494648550003567,-0.10635985222329825,10,33.12376101000009,4.604202780390012,30.074296154999733,4.180327165544963,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",8,12.24999999999999,-0.5923902805897615,1.353767999998828,0.6756820324715254,10,45.5480204219988,6.331174838657833,44.19425242199997,6.143001086657996,2.0,5.0,-0.1711092127008961,0.8595695888214836,2.9107031167894446,True
3 - PUBF Left,"PUBF, left",9,12.24999999999999,-0.5923902805897615,0.8325647039998991,-0.5640302384385513,10,51.7296500069993,7.190421350972903,50.8970853029994,7.074694857116917,2.0,5.0,1.3500264728052946,2.4586453491959652,2.7060697448767037,True
4 - FUF Left,"FUF, left",1,17.53333333333332,-0.6200340572978378,-1.1864713936660762,-0.05036596134406546,10,49.921286913333525,6.93905888095336,51.1077583069996,7.103978404672945,2.0,5.0,1.3655362902210901,2.5084896827910774,2.624778945057726,True
4 - FUF Left,"FUF, left",2,17.53333333333332,-0.6200340572978378,-0.017897449333244775,0.30508156886409077,10,50.48350291733401,7.017206905509427,50.501400366667255,7.019694650966748,2.0,5.0,1.5512341562736536,2.6343706560594655,2.769734009142194,True
4 - FUF Left,"FUF, left",3,17.53333333333332,-0.6200340572978378,-3.0115976976669816,-0.2034723733419994,10,49.56981034633378,6.890203638140396,52.58140804400076,7.308815718116106,2.0,5.0,1.4123391045251057,2.7743557157345675,2.202616308281306,True
4 - FUF Left,"FUF, left",4,17.53333333333332,-0.6200340572978378,0.8942364133331433,-0.20384659519836368,10,33.49984917333412,4.656479035093443,32.60561276000097,4.532180173640135,2.0,5.0,,,,False
4 - FUF Left,"FUF, left",5,17.53333333333332,-0.6200340572978378,2.3851683333333336,0.11781510932215997,10,34.135298293333186,4.744806462773313,31.750129959999853,4.41326806443998,2.0,5.0,,,,False
4 - FUF Left,"FUF, left",7,17.53333333333332,-0.6200340572978378,0.924458224666848,-0.8295776647142725,10,37.944296264333346,5.274257180742334,37.019838039666496,5.145757487513643,2.0,5.0,1.2542901446699177,3.1804166845773927,1.5575300676476378,True
4 - FUF Left,"FUF, left",8,17.53333333333332,-0.6200340572978378,5.6693445336671955,0.21978550339089112,10,63.57021694000004,8.836260154660005,57.900872406332844,8.048221264480265,2.0,5.0,0.3853452006343303,1.3188944198692258,3.213542401608665,True
4 - FUF Left,"FUF, left",9,17.53333333333332,-0.6200340572978378,5.4920052373335215,1.5641983918379847,10,63.16976432666614,8.780597241406593,57.67775908933262,8.017208513417234,2.0,5.0,-1.1493888047123564,-0.07475482099759333,2.7916481755301357,True
4 - FUF Left,"FUF, left",10,17.53333333333332,-0.6200340572978378,4.655109960000347,0.517796232474608,10,65.16012351999908,9.057257169279872,60.50501355999873,8.410196884839824,2.0,5.0,0.20451643936718839,0.8296415896127738,4.799039038537204,True
5 - FBF,FBF,1,12.049999999999988,-0.5626318135630284,0.9673579259998581,-0.06768931371472436,10,60.46047637099956,8.40400621556894,59.4931184449997,8.269543463854959,2.0,5.0,2.212285318418022,3.246931594621946,2.8995416781538905,True
5 - FBF,FBF,2,12.049999999999988,-0.5626318135630284,1.7485283309998703,0.006513500856182741,10,60.705863378999595,8.438115009680944,58.95733504799973,8.195069571671961,2.0,5.0,1.8795720471128685,3.084903232810876,2.488942487838062,True
5 - FBF,FBF,3,12.049999999999988,-0.5626318135630284,0.8057459499998544,0.10324472193704212,10,69.87112330999935,9.712086140089909,69.06537735999949,9.60008745303993,2.0,5.0,1.929714628005878,3.168734255922383,2.421269148935681,True
5 - FBF,FBF,4,12.049999999999988,-0.5626318135630284,8.786169119999954,0.025296569324580298,10,40.24648953199995,5.5942620449479925,31.460320411999994,4.372984537268,2.0,5.0,,,,False
5 - FBF,FBF,5,12.049999999999988,-0.5626318135630284,2.866460477002332,-0.3564642189730284,10,37.74114769999966,5.246019530299953,34.87468722299732,4.847581523996627,2.0,5.0,,,,False
5 - FBF,FBF,6,12.049999999999988,-0.5626318135630284,3.1519291050010327,0.15295003870097415,10,38.39860152000036,5.33740561128005,35.24667241499933,4.899287465684907,2.0,5.0,,,,False
5 - FBF,FBF,7,12.049999999999988,-0.5626318135630284,1.9719901729986027,0.14724573861354548,10,18.10650233999992,2.516803825259989,16.13451216700132,2.2426971912131837,2.0,5.0,,,,False
5 - FBF,FBF,8,12.049999999999988,-0.5626318135630284,1.9719901729986027,0.14724573861354548,10,63.29927107199968,8.798598679007956,61.327280899001074,8.52449204496115,2.0,5.0,0.7777981361783631,1.4099643571252234,4.745587316428568,True
5 - FBF,FBF,9,12.049999999999988,-0.5626318135630284,4.246947240999074,0.5708869534655493,10,69.40233172499957,9.64692410977494,65.15538448400049,9.05659844327607,2.0,5.0,1.7181533172680805,2.8861237760908067,2.5685581149234684,True
5 - FBF,FBF,10,12.049999999999988,-0.5626318135630284,4.238830852000022,-0.16375931451273618,10,76.09579271999974,10.577315188079963,71.85696186799971,9.98811769965196,2.0,5.0,0.30141141836245017,1.6243725734876697,2.267640276797127,True
6 - Posterior Release,Posterior Release,1,10.816666666666654,-0.23912241805530993,3.3050800000000002,-0.6101532942724991,10,75.13207186600015,10.44335798937402,71.82699186600014,9.98395186937402,2.0,5.0,2.2564731323143223,3.262412853578538,2.982286052120248,True
