file_name,intervention,n_cycles,n_valid,k_sec_med_Nm_per_deg,k_sec_mean_Nm_per_deg,k_sec_q25_Nm_per_deg,k_sec_q75_Nm_per_deg,M_peak_dyn_med_Nm,F_peak_dyn_max_N,preload_med_N,rank_k_sec
2 - Intact Holding Longer,"intact, but holding",9,6,3.209753251200472,4.542413804751354,2.0310583772393844,6.366968635415621,5.560366049689143,51.68001824799935,3.0941044499996475,1.0
3 - PUBF Left,"PUBF, left",9,2,2.808386430833074,2.808386430833074,2.757228087854889,2.859544773811259,4.564551600218967,50.8970853029994,1.38658004000018,2.0
4 - FUF Left,"FUF, left",9,7,2.769734009142194,2.8512698494006954,2.4136976266695163,3.0025952885694003,7.103978404672945,60.50501355999873,0.924458224666848,3.0
5 - FBF,FBF,10,6,2.5287503013807653,2.8985898371794665,2.438187483661276,2.816795787346285,8.23230651776346,71.85696186799971,2.4192253250004674,4.0
7 - SPO,SPO,16,7,2.2333504345981754,2.1010691008359315,1.3754095906442054,2.7043867906463492,2.45154696856582,107.0636280046669,9.97921152633307,5.0
6 - Posterior Release,Posterior Release,11,8,1.9055042452240185,1.9426549217899916,1.063214011713704,2.614488274729941,9.98395186937402,113.37280827799958,3.1920055120005775,6.0
