file_name,intervention,n_cycles,n_valid,k_sec_med_Nm_per_deg,k_sec_q25_Nm_per_deg,k_sec_q75_Nm_per_deg,rank_k_sec,M_low_Nm,M_high_Nm,window
7 - SPO,SPO,16,7,1.601817671068256,1.175076876042973,1.868313523676008,4.0,1.5,2.5,1.5-2.5
2 - Intact Holding Longer,"intact, but holding",9,4,1.9285226931247514,1.5650671377064915,2.398998603594155,3.0,1.5,3.0,1.5-3.0
3 - PUBF Left,"PUBF, left",9,8,2.7436813935655104,1.648026925437816,3.4589705548377703,1.0,1.5,3.0,1.5-3.0
4 - FUF Left,"FUF, left",9,7,1.4264671887728735,1.1570857432888064,2.997504802732736,6.0,1.5,3.0,1.5-3.0
5 - FBF,FBF,10,9,2.0377387366789566,1.5324370937080252,2.2184713031365644,2.0,1.5,3.0,1.5-3.0
6 - Posterior Release,Posterior Release,11,7,1.8379633984254793,1.5744963187052705,2.825418606417431,4.0,1.5,3.0,1.5-3.0
7 - SPO,SPO,16,7,1.5695339669519415,1.3679196318969593,1.8089866525718992,5.0,1.5,3.0,1.5-3.0
2 - Intact Holding Longer,"intact, but holding",9,4,1.7577044340661043,1.314100480228695,2.686321834376723,6.0,1.5,3.5,1.5-3.5
3 - PUBF Left,"PUBF, left",9,6,2.8347492563984513,2.3281460515437926,3.0572349796007527,1.0,1.5,3.5,1.5-3.5
4 - FUF Left,"FUF, left",9,8,1.7918631182958005,1.180401421464172,3.787905710311576,4.0,1.5,3.5,1.5-3.5
5 - FBF,FBF,10,9,2.111990891787363,1.4930634546313473,2.21853958665079,2.0,1.5,3.5,1.5-3.5
6 - Posterior Release,Posterior Release,11,7,1.8955168387976005,1.7710777456898918,2.4985752846549305,3.0,1.5,3.5,1.5-3.5
7 - SPO,SPO,16,7,1.763475556036823,1.5759706759474819,2.0517449620607016,5.0,1.5,3.5,1.5-3.5
2 - Intact Holding Longer,"intact, but holding",9,3,2.530491807090472,2.10386803934081,5.107712944635566,2.0,1.5,4.0,1.5-4.0
3 - PUBF Left,"PUBF, left",9,5,2.9427466935640307,2.5435583631876204,2.9473759426394883,1.0,1.5,4.0,1.5-4.0
4 - FUF Left,"FUF, left",9,8,1.92200390668753,1.3620286009606386,3.3024846860988055,6.0,1.5,4.0,1.5-4.0
5 - FBF,FBF,10,9,1.9971912005172232,1.578212075883909,2.278163488323194,4.0,1.5,4.0,1.5-4.0
6 - Posterior Release,Posterior Release,11,8,2.025669955047663,1.8669448321439646,2.270457132273605,3.0,1.5,4.0,1.5-4.0
7 - SPO,SPO,16,7,1.9337385999733394,1.5925066847175495,2.214498722545226,5.0,1.5,4.0,1.5-4.0
2 - Intact Holding Longer,"intact, but holding",9,3,1.244765043444043,0.9338513370018837,1.357194179218316,4.0,2.0,2.5,2.0-2.5
3 - PUBF Left,"PUBF, left",9,4,1.3183731482609393,1.2086252507291473,1.4283841545400027,2.0,2.0,2.5,2.0-2.5
4 - FUF Left,"FUF, left",9,6,1.3195551568793296,1.076604402624652,1.427864032292037,1.0,2.0,2.5,2.0-2.5
5 - FBF,FBF,10,0,,,,,2.0,2.5,2.0-2.5
6 - Posterior Release,Posterior Release,11,2,1.1516183074873148,0.9971080968997288,1.3061285180749005,5.0,2.0,2.5,2.0-2.5
7 - SPO,SPO,16,5,1.2894280129172386,1.272779006572599,1.4369157870228697,3.0,2.0,2.5,2.0-2.5
2 - Intact Holding Longer,"intact, but holding",9,4,1.8508425671204296,1.4321443151129651,2.084015192187634,4.0,2.0,3.0,2.0-3.0
3 - PUBF Left,"PUBF, left",9,7,1.8806708088602149,1.4456774926996812,2.09135001197964,3.0,2.0,3.0,2.0-3.0
4 - FUF Left,"FUF, left",9,8,2.020601699226822,1.4347937065464662,2.3462830655918365,2.0,2.0,3.0,2.0-3.0
5 - FBF,FBF,10,9,2.097993390905492,1.7086601911784833,2.2941133496426414,1.0,2.0,3.0,2.0-3.0
6 - Posterior Release,Posterior Release,11,5,1.603364708382381,1.3240488580106924,2.7292612944162857,6.0,2.0,3.0,2.0-3.0
7 - SPO,SPO,16,6,1.63925272672668,0.838440670660374,2.0611325059976267,5.0,2.0,3.0,2.0-3.0
2 - Intact Holding Longer,"intact, but holding",9,4,1.7048310149156762,1.1653189718468868,2.447141756595453,6.0,2.0,3.5,2.0-3.5
3 - PUBF Left,"PUBF, left",9,6,2.003847401638783,1.8906395287203093,2.538146973655797,4.0,2.0,3.5,2.0-3.5
4 - FUF Left,"FUF, left",9,8,2.391454427133038,1.7013530925278335,2.8876865598258523,1.0,2.0,3.5,2.0-3.5
5 - FBF,FBF,10,9,1.8830191953570048,1.74116512463796,2.0331154884048415,5.0,2.0,3.5,2.0-3.5
6 - Posterior Release,Posterior Release,11,7,2.28009939962528,1.69940856678424,2.8837322644566337,2.0,2.0,3.5,2.0-3.5
7 - SPO,SPO,16,7,2.241244033336737,1.2667576135756597,2.8318063580619235,3.0,2.0,3.5,2.0-3.5
2 - Intact Holding Longer,"intact, but holding",9,2,1.7986551348747397,1.6916701118976296,1.9056401578518498,6.0,2.0,4.0,2.0-4.0
3 - PUBF Left,"PUBF, left",9,5,2.2179189078530164,2.1562786406215677,2.3103159624893332,3.0,2.0,4.0,2.0-4.0
4 - FUF Left,"FUF, left",9,9,2.5620399765151793,2.1904286619779905,2.638609328300178,1.0,2.0,4.0,2.0-4.0
5 - FBF,FBF,10,9,1.9209781383876747,1.8236223488943355,2.256898268179862,5.0,2.0,4.0,2.0-4.0
6 - Posterior Release,Posterior Release,11,8,1.9734180058579875,1.8274425498366766,2.8002334320452196,4.0,2.0,4.0,2.0-4.0
7 - SPO,SPO,16,7,2.371123720583886,1.396470369096871,2.940814041937217,2.0,2.0,4.0,2.0-4.0
2 - Intact Holding Longer,"intact, but holding",9,2,1.2987875410817913,1.1754985127156836,1.4220765694478987,2.0,2.5,3.0,2.5-3.0
3 - PUBF Left,"PUBF, left",9,0,,,,,2.5,3.0,2.5-3.0
4 - FUF Left,"FUF, left",9,2,1.3498672751218934,1.3316911102585849,1.368043439985202,1.0,2.5,3.0,2.5-3.0
5 - FBF,FBF,10,4,1.0364169861449024,0.737136620343462,1.3754101901689466,4.0,2.5,3.0,2.5-3.0
6 - Posterior Release,Posterior Release,11,2,1.2292893165645504,1.220054879925576,1.238523753203525,3.0,2.5,3.0,2.5-3.0
