file_name,intervention,cycle,t_start_s,t_peak_s,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,theta_ref_mode,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,dtheta_secant_deg,k_sec_Nm_per_deg,secant_reason,valid_secant,gate_band_n,gate_n_up_m,gate_n_opposite,gate_opposite_ratio,gate_corr_theta_m,gate_radius_std_mm,gate_z_std_mm,pass_geometry_gate,pass_monotonicity_gate,pass_auto_exclusion,auto_exclusion_reason,k_sec_auto_Nm_per_deg
2 - Intact Holding Longer,"intact, but holding",1,27.233616666666656,31.433721666666656,10.766666666666653,-0.5621697067502374,3.0941044499996475,-0.20478101423028106,10,preramp_median_fallback,53.030345845000134,6.9931117065801685,49.936241395000486,6.5850921527587145,1.0,4.0,-0.015764499519183274,0.3452075500043898,0.3609720495235731,8.310892779536623,ok,True,28,26,2,0.07692307692307693,0.711216588256458,0.08051023816333541,0.364042510303351,True,True,True,ok,8.310892779536623
2 - Intact Holding Longer,"intact, but holding",2,63.26745566666665,66.86754066666666,10.766666666666653,-0.5621697067502374,3.502215282332818,-0.020210990481342395,4,force_zero_band,52.037103426000456,6.86213282878668,48.53488814366764,6.400295699505451,1.0,4.0,-0.010385363421580918,0.4424076507600097,0.4527930141815906,6.625543915297384,ok,True,35,30,16,0.5333333333333333,0.056865376899278626,0.08126836098322805,0.29850838018075904,True,False,False,monotonicity_gate,
2 - Intact Holding Longer,"intact, but holding",3,95.80138866666665,101.06809266666666,10.766666666666653,-0.5621697067502374,1.1255750046671706,-0.8325169932075416,5,force_zero_band,52.80559325266652,6.963473582229134,51.68001824799935,6.815044006363674,1.0,4.0,1.0918780825090004,0.978547710827296,-0.11333037168170446,,dtheta_too_small,False,42,32,14,0.4375,-0.5641487135334144,0.08118631338677891,0.8700382054521308,True,False,False,monotonicity_gate,
2 - Intact Holding Longer,"intact, but holding",4,133.10199666666665,141.23550566666665,10.766666666666653,-0.5621697067502374,2.4587416266656255,0.04877639917431098,3,force_zero_band,32.04588466766701,4.2258908111252484,29.587143041001386,3.901656552816853,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,186,111,15,0.13513513513513514,0.9336383325275902,0.02991821710666118,0.16806598584208252,True,True,True,ok,
2 - Intact Holding Longer,"intact, but holding",5,165.13582966666664,169.93599866666665,10.766666666666653,-0.5621697067502374,1.5369377100003803,-0.7674611780998224,5,force_zero_band,28.172468371999745,3.715103404215607,26.635530661999365,3.512427428397856,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,94,67,3,0.04477611940298507,0.9581800686431835,0.04431737792492769,0.37979376421533667,True,True,True,ok,
2 - Intact Holding Longer,"intact, but holding",6,194.10294466666664,200.80313566666666,10.766666666666653,-0.5621697067502374,4.257678562000294,-0.11294480831819165,14,force_zero_band,26.002556486666833,3.4289571238967556,21.74487792466654,2.8674970519257768,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,137,79,25,0.31645569620253167,0.943842467746577,0.036328623181748586,0.3331646168554306,True,True,True,ok,
2 - Intact Holding Longer,"intact, but holding",7,224.70350466666665,229.97026966666664,10.766666666666653,-0.5621697067502374,1.9039737826658178,0.3740258634302196,10,preramp_median_fallback,41.90660723366684,5.5262242959036465,40.002633451001024,5.275147273183506,1.0,4.0,0.23315162745065937,1.2184472199132965,0.9852955924626372,3.0447715619044153,ok,True,64,45,15,0.3333333333333333,0.8230988932168971,0.1473609041355434,1.2769091629822225,False,True,False,geometry_gate,
2 - Intact Holding Longer,"intact, but holding",8,259.37072866666665,264.57081166666666,10.766666666666653,-0.5621697067502374,4.457709648665872,1.7202573363282587,10,preramp_median_fallback,47.119678955000026,6.213672063795853,42.66196930633416,5.625833892426285,1.0,4.0,-1.4400522943798713,-0.5808686584793427,0.8591836359005286,3.4916866134858777,ok,True,53,40,11,0.275,0.9087107622491285,0.08828463275043111,0.30523725768750853,True,True,True,ok,3.4916866134858777
2 - Intact Holding Longer,"intact, but holding",9,293.40470066666666,299.27139666666665,10.766666666666653,-0.5621697067502374,6.34575,-2.180742535292759,3,force_zero_band,42.44790680333336,5.59760547015557,36.10215680333336,4.760791417655571,1.0,4.0,2.174530901345523,3.8313001796594683,1.6567692783139454,1.8107530356025363,ok,True,77,49,9,0.1836734693877551,0.9278785340885022,0.059204060486057,0.40714445490479173,True,True,True,ok,1.8107530356025363
3 - PUBF Left,"PUBF, left",1,66.31755899999999,71.71765099999999,12.24999999999999,-0.5725763592549218,1.38658004000018,0.10048401220844866,10,preramp_median_fallback,34.225080760999944,4.5132613999530635,32.83850072099976,4.330413090078238,1.0,4.0,0.4717111723557573,2.8143119204074813,2.342600748051724,1.2806279527123932,ok,True,100,58,6,0.10344827586206896,0.8793452900537685,0.07941572912681966,0.2716759726834853,True,True,True,ok,1.2806279527123932
3 - PUBF Left,"PUBF, left",2,99.65137099999998,104.41806599999998,12.24999999999999,-0.5725763592549218,-0.2942507600005595,0.6074601070556455,3,force_zero_band,34.91876440599888,4.604737462219072,35.21301516599944,4.643540309940346,1.0,4.0,-0.37592712722748634,0.8560386736253469,1.2319658008528331,2.435132532025839,ok,True,68,48,4,0.08333333333333333,0.9673823743481419,0.029802089255234337,0.2673705246498865,True,True,True,ok,2.435132532025839
