Intervention,Book,Motion,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm
Intact,4,Flexion/Extension,True,ok,128,0.8661582389131607,0.8661582389131607,-2.192309677808266,0.9814661375347422,3.156753728666608,7.93519747658409,1.0150981963927856,4.975513026052105
PUBF Left,7,Flexion/Extension,True,ok,124,0.8888889302250753,0.8888889302250753,-2.0732241692284528,0.9833660526264494,2.9969564590379427,7.619714017754694,1.0296392785571147,4.978210420841684
FUF Left,10,Flexion/Extension,True,ok,125,0.8665329389068408,0.8665329389068408,-2.0289335427707633,0.983277511700233,2.986208768539641,7.781426423117155,1.0017374749499002,4.990362725450902
FBF,13,Flexion/Extension,True,ok,126,0.8456217397313035,0.8456217397313035,-2.537609553024322,0.9828890431137202,3.6805701973824307,8.579192473375782,1.0293426853707413,4.979492985971943
Posterior Release,16,Flexion/Extension,True,ok,128,0.8165286151055476,0.8165286151055476,-4.33284623003908,0.9783407813342087,5.937966450431248,11.046546669917674,1.024456913827656,4.995815631262525
SPO,19,Flexion/Extension,True,ok,128,0.7219238536523875,0.7219238536523875,-5.105760433042724,0.9767250803908626,7.812646998276308,13.49303225127058,1.0212204408817627,4.987488977955911
