Intervention,Book,Motion,valid,reason,k_linear_nm_per_deg,intercept_nm,r2,fit_n_points,fit_span_deg,fit_theta0_deg,fit_theta1_deg,fit_m0_nm,fit_m1_nm,fit_selection_mode,toe_deg,flat_slope_thr_nm_per_deg,flat_filter_reason,key,intervention,k_mean_nm_per_deg,k_median_nm_per_deg,n_valid,scale_laminaMedian_over_mts,scale_laminaMean_over_mts,global_scale_median,mts_scaled_global_nm_per_deg,residual_vs_lamina_median_nm_per_deg
Intact,4,Flexion/Extension,True,ok,0.508520972533197,-0.4734569331698456,0.9704535765882515,90,5.493589100612038,0.5430250594107817,6.03661416002282,0.11075150300601155,2.886160320641282,strict_initial_window,0.4344868394106493,0.30350746682885116,ok,intact but holding,"intact, but holding",2.211633332836125,1.696918240286086,5,3.3369680543024387,4.3491487122328,2.759371711825275,1.4031983864779813,-0.2937198538081047
PUBF Left,7,Flexion/Extension,True,ok,0.5488551380089299,-0.48732072464967624,0.9701858628484678,94,5.509027184032427,0.46478412354749477,5.973811307579922,0.09867535070140399,3.0841803607214437,strict_initial_window,0.4344868394106493,0.30350746682885116,ok,pubf left,"PUBF, left",1.7430064057231316,1.604160281731427,6,2.922738935360622,3.175713016090546,2.759371711825275,1.5144953417117986,-0.08966494001962855
FUF Left,10,Flexion/Extension,True,ok,0.7498635572585347,-1.345316587161792,0.9700013539121929,131,5.76181007453575,1.774905895137743,7.536715969673493,0.51924248496994,4.700865731462926,strict_initial_window,0.4344868394106493,0.30350746682885116,ok,fuf left,"FUF, left",2.328297103682741,1.8177861279010996,8,2.4241558484944097,3.104961004099044,2.759371711825275,2.069152287627873,0.25136615972677334
FBF,13,Flexion/Extension,True,ok,0.7682496932980221,-2.0041853110771166,0.9709815251113588,134,5.746654488968917,2.7476438638477196,8.494298352816637,0.6817294589178342,4.884689378757514,strict_initial_window,0.4344868394106493,0.30350746682885116,ok,fbf,FBF,1.9246232899894011,1.9943796519290256,9,2.5960044882899274,2.5052054127443624,2.759371711825275,2.1198864713050054,0.12550681937597985
Posterior Release,16,Flexion/Extension,True,ok,0.7664327412991765,-3.86804605424938,0.9703489151557395,131,5.6283065567854145,5.341105148049191,10.969411704834606,0.8368336673346697,4.902004008016032,strict_initial_window,0.4344868394106493,0.30350746682885116,ok,posterior release,Posterior Release,2.194338481997039,2.323709930982122,9,3.031851075468426,2.863054203918045,2.759371711825275,2.1148728253576468,-0.20883710562447533
SPO,19,Flexion/Extension,True,ok,0.7299147851060507,-5.196867150596657,0.9774671328425756,128,5.613470132022369,7.910187364775153,13.523657496797522,1.0524509018036063,5.0187194388777545,strict_initial_window,0.4344868394106493,0.30350746682885116,ok,spo,SPO,2.1134864260770456,1.857752915897978,8,2.5451641120381767,2.8955248875661193,2.759371711825275,2.0141062100646607,0.15635329416668275
