file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,run_samples,transition_flag_raw,transition_flag
2 - Intact Holding Longer,"intact, but holding",1,241,367,27.233616666666656,31.433721666666656,4.200105000000001,3.0941044499996475,53.030345845000134,-0.21485839039464238,2.0080927013894927,2.222951091784135,727,False,False
2 - Intact Holding Longer,"intact, but holding",2,1301,1409,63.26745566666665,66.86754066666666,3.600085000000007,3.502215282332818,52.037103426000456,-0.044992267148506127,1.0971699357341902,1.1421622028826963,748,False,False
2 - Intact Holding Longer,"intact, but holding",3,2249,2407,95.80138866666665,101.06809266666666,5.266704000000004,1.1255750046671706,52.80559325266652,-1.1314305864401935,1.103410401095053,2.2348409875352466,746,False,False
2 - Intact Holding Longer,"intact, but holding",4,3324,3568,133.10199666666665,141.23550566666665,8.133509000000004,2.4587416266656255,32.04588466766701,0.05833109443174089,1.9630668327148098,1.904735738283069,736,False,False
2 - Intact Holding Longer,"intact, but holding",5,4234,4375,165.13582966666664,169.93599866666665,4.800169000000011,1.5369377100003803,28.172468371999745,-0.2883264959418176,1.6469309240865717,1.9352574200283894,644,False,False
2 - Intact Holding Longer,"intact, but holding",6,5034,5235,194.10294466666664,200.80313566666666,6.700191000000018,4.257678562000294,26.002556486666833,-0.1658804965539158,1.8292758242215739,1.9951563207754897,663,False,False
2 - Intact Holding Longer,"intact, but holding",7,5903,6057,224.70350466666665,229.97026966666664,5.266764999999992,1.9039737826658178,41.90660723366684,-0.6496622699665155,2.1469247452306477,2.7965870151971632,455,False,False
2 - Intact Holding Longer,"intact, but holding",8,6507,6661,259.37072866666665,264.57081166666666,5.2000830000000065,4.457709648665872,47.119678955000026,0.32744369618931124,2.0519156265001213,1.72447193031081,659,False,False
2 - Intact Holding Longer,"intact, but holding",9,7415,7591,293.40470066666666,299.27139666666665,5.86669599999999,6.34575,42.44790680333336,-1.7895893514855932,1.8416206830102717,3.631210034495865,880,False,False
3 - PUBF Left,"PUBF, left",1,1119,1281,66.31755899999999,71.71765099999999,5.400092000000001,1.38658004000018,34.225080760999944,0.18603861154816448,3.053352799978186,2.8673141884300217,660,False,False
3 - PUBF Left,"PUBF, left",2,2014,2157,99.65137099999998,104.41806599999998,4.766694999999999,-0.2942507600005595,34.91876440599888,0.500076300667611,1.6496335692389321,1.1495572685713211,519,True,False
3 - PUBF Left,"PUBF, left",3,2691,2837,124.05173599999999,128.918541,4.866805000000014,2.1671335440003205,36.012887232001574,0.18118290249939883,1.6821131369058904,1.5009302344064914,613,False,False
3 - PUBF Left,"PUBF, left",4,3538,3659,153.785664,157.818967,4.033302999999989,5.061159040000007,30.53209186999995,0.23265051440427809,2.042168442410528,1.8095179280062499,549,False,False
3 - PUBF Left,"PUBF, left",5,4247,4343,179.219357,182.419447,3.2000899999999888,-0.6973577470001293,22.92992934000004,0.07244450106834688,1.4493944106487522,1.3769499095804054,474,False,False
3 - PUBF Left,"PUBF, left",6,4889,5025,201.953081,206.486485,4.53340399999999,3.717054721000075,25.18469,0.060946800934033596,1.7836554043239037,1.72270860338987,519,False,False
3 - PUBF Left,"PUBF, left",7,5683,5838,230.753555,236.820347,6.066791999999992,3.0494648550003567,33.12376101000009,0.016035426583186685,1.2693961644183476,1.2533607378351608,601,False,False
3 - PUBF Left,"PUBF, left",8,6484,6579,260.92096,264.08755099999996,3.1665909999999826,1.353767999998828,45.5480204219988,0.5733434359548933,1.532659067133204,0.9593156311783108,600,False,False
