Intervention,Book,Motion,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm
Intact,4,Flexion/Extension,True,ok,192,1.0189643133450117,1.0189643133450117,-3.0217057257608615,0.9768442114084942,3.156753728666608,9.306890263722789,1.0150981963927856,6.9713126252505
PUBF Left,7,Flexion/Extension,True,ok,186,1.0461553065661269,1.0461553065661269,-2.8853334548614864,0.9772692057782735,2.9969564590379427,8.93330694479636,1.0296392785571147,6.968547094188377
FUF Left,10,Flexion/Extension,True,ok,187,1.0214129710613735,1.0214129710613735,-2.8380928093853566,0.9767238610784081,2.986208768539641,9.116273073194858,1.0017374749499002,6.984675350701403
FBF,13,Flexion/Extension,True,ok,189,0.9997750034415626,0.9997750034415626,-3.457928267626144,0.9761483333587023,3.6805701973824307,9.908250491496599,1.0293426853707413,6.970368737474949
Posterior Release,16,Flexion/Extension,True,ok,192,0.9783200514314593,0.9783200514314593,-5.68662459849669,0.9711400561463512,5.937966450431248,12.354139771813063,1.024456913827656,6.9971302605210415
SPO,19,Flexion/Extension,True,ok,192,0.8710970292709664,0.8710970292709664,-6.674713592531495,0.9682292391299155,7.812646998276308,14.993768931952257,1.0212204408817627,6.986238476953908
