Intervention,Book,Motion,valid,reason,k_linear_nm_per_deg,intercept_nm,r2,fit_n_points,fit_span_deg,fit_theta0_deg,fit_theta1_deg,fit_m0_nm,fit_m1_nm,fit_selection_mode,toe_deg,flat_slope_thr_nm_per_deg,flat_filter_reason
Intact,4,Flexion/Extension,True,ok,0.508520972533197,-0.4734569331698456,0.9704535765882515,90,5.493589100612038,0.5430250594107817,6.03661416002282,0.11075150300601155,2.886160320641282,strict_initial_window,0.4344868394106493,0.30350746682885116,ok
PUBF Left,7,Flexion/Extension,True,ok,0.5488551380089299,-0.48732072464967624,0.9701858628484678,94,5.509027184032427,0.46478412354749477,5.973811307579922,0.09867535070140399,3.0841803607214437,strict_initial_window,0.4344868394106493,0.30350746682885116,ok
FUF Left,10,Flexion/Extension,True,ok,0.7498635572585347,-1.345316587161792,0.9700013539121929,131,5.76181007453575,1.774905895137743,7.536715969673493,0.51924248496994,4.700865731462926,strict_initial_window,0.4344868394106493,0.30350746682885116,ok
FBF,13,Flexion/Extension,True,ok,0.7682496932980221,-2.0041853110771166,0.9709815251113588,134,5.746654488968917,2.7476438638477196,8.494298352816637,0.6817294589178342,4.884689378757514,strict_initial_window,0.4344868394106493,0.30350746682885116,ok
Posterior Release,16,Flexion/Extension,True,ok,0.7664327412991765,-3.86804605424938,0.9703489151557395,131,5.6283065567854145,5.341105148049191,10.969411704834606,0.8368336673346697,4.902004008016032,strict_initial_window,0.4344868394106493,0.30350746682885116,ok
SPO,19,Flexion/Extension,True,ok,0.7299147851060507,-5.196867150596657,0.9774671328425756,128,5.613470132022369,7.910187364775153,13.523657496797522,1.0524509018036063,5.0187194388777545,strict_initial_window,0.4344868394106493,0.30350746682885116,ok
