Intervention,Book,Motion,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm
Intact,4,Flexion/Extension,True,ok,96,0.778519239698216,0.778519239698216,-1.7607849570506462,0.9844248437916674,3.156753728666608,7.12948019076458,1.0150981963927856,3.977613226452905
PUBF Left,7,Flexion/Extension,True,ok,93,0.8028535050446036,0.8028535050446036,-1.6704631510653334,0.986523838542489,2.9969564590379427,6.8601812478862385,1.0296392785571147,3.9830420841683374
FUF Left,10,Flexion/Extension,True,ok,94,0.7812540060906822,0.7812540060906822,-1.625737545338173,0.9871869687496228,2.986208768539641,6.968127738581494,1.0017374749499002,3.9932064128256517
FBF,13,Flexion/Extension,True,ok,95,0.7633018805189568,0.7633018805189568,-2.087430961063352,0.9858433932767928,3.6805701973824307,7.739936525365109,1.0293426853707413,3.9998557114228444
Posterior Release,16,Flexion/Extension,True,ok,96,0.7271920195172906,0.7271920195172906,-3.6318807695117092,0.9828379825452583,5.937966450431248,10.224637622146194,1.024456913827656,3.995158316633267
SPO,19,Flexion/Extension,True,ok,96,0.6406053945575402,0.6406053945575402,-4.297944676374736,0.9816750403752303,7.812646998276308,12.592003021688075,1.0212204408817627,3.9881142284569133
