file_name,intervention,n_cycles,n_valid,k_sec_med_Nm_per_deg,k_sec_mean_Nm_per_deg,k_sec_q25_Nm_per_deg,k_sec_q75_Nm_per_deg,M_peak_dyn_med_Nm,F_peak_dyn_max_N,preload_med_N,rank_k_sec
2 - Intact Holding Longer,"intact, but holding",9,7,10.618635802289308,9.81887974607553,1.7573130842613867,15.107370911062903,5.560366049689143,51.68001824799935,3.0941044499996475,1.0
4 - FUF Left,"FUF, left",9,9,2.591189020289983,2.351555609856656,1.3088115442354298,3.285018789422414,7.103978404672945,60.50501355999873,0.924458224666848,2.0
7 - SPO,SPO,16,7,2.392192982139681,2.1330990557838,1.4280442267776716,2.7816837110991366,2.45154696856582,107.0636280046669,9.97921152633307,3.0
3 - PUBF Left,"PUBF, left",9,6,2.3692445681838157,2.4933685220473194,2.2960759083283637,2.879243209577033,4.564551600218967,50.8970853029994,1.38658004000018,4.0
6 - Posterior Release,Posterior Release,11,8,2.1019730897055853,3.012912862986213,1.8582910801579489,3.1277499382105187,9.98395186937402,113.37280827799958,3.1920055120005775,5.0
5 - FBF,FBF,10,9,1.9514167426269637,1.9929587145337289,1.404661341993792,2.233714989691809,8.23230651776346,71.85696186799971,2.4192253250004674,6.0
