file_name,intervention,cycle,lag_s,theta0_deg,F_preload_start_N,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,F_eng_dyn_N,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,k_sec_Nm_per_deg,valid_secant
2 - Intact Holding Longer,"intact, but holding",1,10.766666666666653,-0.5808139799509149,3.0941044499996475,53.030345845000134,7.371218072455019,49.936241395000486,6.941137553905068,12.0,2.0,5.0,0.054915861728516785,0.3619530942833173,9.770801980715987,True
2 - Intact Holding Longer,"intact, but holding",2,10.766666666666653,-0.5808139799509149,3.502215282332818,52.037103426000456,7.233157376214064,48.53488814366764,6.7463494519698015,12.0,2.0,5.0,-0.04810730182883231,0.37858177074352567,7.030880781441291,True
2 - Intact Holding Longer,"intact, but holding",3,10.766666666666653,-0.5808139799509149,1.1255750046671706,52.80559325266652,7.339977462120646,51.68001824799935,7.1835225364719095,12.0,2.0,5.0,0.01944756913850413,1.5144836784978102,2.0066404959848376,True
2 - Intact Holding Longer,"intact, but holding",4,10.766666666666653,-0.5808139799509149,2.4587416266656255,32.04588466766701,4.454377968805715,29.587143041001386,4.112612882699192,12.0,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",5,10.766666666666653,-0.5808139799509149,1.5369377100003803,28.172468371999745,3.9159731037079646,26.635530661999365,3.702338762017912,12.0,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",6,10.766666666666653,-0.5808139799509149,4.257678562000294,26.002556486666833,3.61435535164669,21.74487792466654,3.022538031528649,12.0,2.0,5.0,,,,False
2 - Intact Holding Longer,"intact, but holding",7,10.766666666666653,-0.5808139799509149,1.9039737826658178,41.90660723366684,5.825018405479691,40.002633451001024,5.560366049689143,12.0,2.0,5.0,0.0199302843642059,0.705608178631133,4.375232197338612,True
2 - Intact Holding Longer,"intact, but holding",8,10.766666666666653,-0.5808139799509149,4.457709648665872,47.119678955000026,6.549635374745004,42.66196930633416,5.930013733580448,12.0,2.0,5.0,0.014422481587615742,1.4946955719455302,2.0266530679650683,True
2 - Intact Holding Longer,"intact, but holding",9,10.766666666666653,-0.5808139799509149,6.34575,42.44790680333336,5.900259045663337,36.10215680333336,5.018199795663337,12.0,2.0,5.0,0.1530767347891616,1.6205901661182938,2.044274305062332,True
3 - PUBF Left,"PUBF, left",1,12.24999999999999,-0.5923902805897615,1.38658004000018,34.225080760999944,4.757286225778992,32.83850072099976,4.564551600218967,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",2,12.24999999999999,-0.5923902805897615,-0.2942507600005595,34.91876440599888,4.853708252433844,35.21301516599944,4.894609108073921,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",3,12.24999999999999,-0.5923902805897615,2.1671335440003205,36.012887232001574,5.005791325248219,33.84575368800125,4.704559762632174,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",4,12.24999999999999,-0.5923902805897615,5.061159040000007,30.53209186999995,4.243960769929993,25.470932829999942,3.540459663369992,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",5,12.24999999999999,-0.5923902805897615,-0.6973577470001293,22.92992934000004,3.1872601782600056,23.62728708700017,3.2841929050930236,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",6,12.24999999999999,-0.5923902805897615,3.717054721000075,25.18469,3.50067191,21.467635278999925,2.9840013037809894,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",7,12.24999999999999,-0.5923902805897615,3.0494648550003567,33.12376101000009,4.604202780390012,30.074296154999733,4.180327165544963,12.0,2.0,5.0,,,,False
3 - PUBF Left,"PUBF, left",8,12.24999999999999,-0.5923902805897615,1.353767999998828,45.5480204219988,6.331174838657833,44.19425242199997,6.143001086657996,12.0,2.0,5.0,-0.0485620964728514,0.9821167050495283,2.9107031167894446,True
3 - PUBF Left,"PUBF, left",9,12.24999999999999,-0.5923902805897615,0.8325647039998991,51.7296500069993,7.190421350972903,50.8970853029994,7.074694857116917,12.0,2.0,5.0,-0.0026577829842501046,1.1059610934064201,2.706069744876705,True
4 - FUF Left,"FUF, left",1,17.53333333333332,-0.6200340572978378,-1.1864713936660762,49.921286913333525,6.93905888095336,51.1077583069996,7.103978404672945,12.0,2.0,5.0,0.15559957243921638,1.2985529650092036,2.624778945057726,True
4 - FUF Left,"FUF, left",2,17.53333333333332,-0.6200340572978378,-0.017897449333244775,50.48350291733401,7.017206905509427,50.501400366667255,7.019694650966748,12.0,2.0,5.0,0.024902491290479063,1.1080389910762911,2.769734009142194,True
4 - FUF Left,"FUF, left",3,17.53333333333332,-0.6200340572978378,-3.0115976976669816,49.56981034633378,6.890203638140396,52.58140804400076,7.308815718116106,12.0,2.0,5.0,0.4306567831725644,1.7926733943820259,2.202616308281307,True
4 - FUF Left,"FUF, left",4,17.53333333333332,-0.6200340572978378,0.8942364133331433,33.49984917333412,4.656479035093443,32.60561276000097,4.532180173640135,12.0,2.0,5.0,,,,False
4 - FUF Left,"FUF, left",5,17.53333333333332,-0.6200340572978378,2.3851683333333336,34.135298293333186,4.744806462773313,31.750129959999853,4.41326806443998,12.0,2.0,5.0,,,,False
4 - FUF Left,"FUF, left",7,17.53333333333332,-0.6200340572978378,0.924458224666848,37.944296264333346,5.274257180742334,37.019838039666496,5.145757487513643,12.0,2.0,5.0,0.429245102516674,2.355371642424149,1.557530067647638,True
