file_name,intervention,n_cycles_include,n_valid_include,k_sec_med_Nm_per_deg_include,k_sec_mean_Nm_per_deg_include,k_sec_q25_Nm_per_deg_include,k_sec_q75_Nm_per_deg_include,rank_k_sec_include,n_cycles_exclude,n_valid_exclude,k_sec_med_Nm_per_deg_exclude,k_sec_mean_Nm_per_deg_exclude,k_sec_q25_Nm_per_deg_exclude,k_sec_q75_Nm_per_deg_exclude,rank_k_sec_exclude,delta_k_sec_med,delta_rank
2 - Intact Holding Longer,"intact, but holding",9,6,3.209753251200472,4.542413804751354,2.0310583772393844,6.366968635415621,1.0,9,6,3.209753251200472,4.542413804751354,2.0310583772393844,6.366968635415621,1.0,0.0,0.0
3 - PUBF Left,"PUBF, left",9,2,2.8083864308330746,2.8083864308330746,2.757228087854889,2.8595447738112596,2.0,9,2,2.8083864308330746,2.8083864308330746,2.757228087854889,2.8595447738112596,2.0,0.0,0.0
4 - FUF Left,"FUF, left",9,7,2.769734009142194,2.8512698494006954,2.4136976266695163,3.0025952885694007,3.0,9,7,2.769734009142194,2.8512698494006954,2.4136976266695163,3.0025952885694007,3.0,0.0,0.0
5 - FBF,FBF,10,6,2.5287503013807653,2.8985898371794665,2.438187483661276,2.816795787346285,4.0,10,6,2.5287503013807653,2.8985898371794665,2.438187483661276,2.816795787346285,4.0,0.0,0.0
7 - SPO,SPO,16,7,2.2333504345981754,2.1010691008359315,1.3754095906442054,2.704386790646349,5.0,13,6,2.2360843867422986,2.3015174330143426,1.8835563696655264,2.937171016526313,5.0,0.0027339521441231973,0.0
6 - Posterior Release,Posterior Release,11,8,1.9055042452240187,1.9426549217899916,1.063214011713704,2.614488274729941,6.0,11,8,1.9055042452240187,1.9426549217899916,1.063214011713704,2.614488274729941,6.0,0.0,0.0
