file_name,intervention,n_cycles,n_valid,k_sec_med_Nm_per_deg,k_sec_mean_Nm_per_deg,k_sec_q25_Nm_per_deg,k_sec_q75_Nm_per_deg,M_peak_med_Nm,F_peak_max_N,rank_k_sec
2 - Intact Holding Longer,"intact, but holding",9,6,6.131749921867845,7.946340030172396,3.7725141873745627,8.717247435348176,5.900259045663337,53.030345845000134,1.0
3 - PUBF Left,"PUBF, left",9,3,3.06026303585932,3.0929021090331705,2.927953058007654,3.2415316234717615,4.757286225778992,51.7296500069993,2.0
4 - FUF Left,"FUF, left",9,6,2.7409479842484568,3.3033053264518313,2.6461599277515773,3.566813165301411,6.93905888095336,65.16012351999908,3.0
5 - FBF,FBF,10,9,2.2102904596500283,2.7502508330688644,1.3779230495455934,2.738395882684601,8.421060612624942,76.09579271999974,4.0
6 - Posterior Release,Posterior Release,11,8,1.970194535583493,1.8845667409110707,1.4329631906722815,2.2792328116929417,10.44335798937402,116.24578698466715,5.0
7 - SPO,SPO,16,7,1.878637914392388,1.9495767055639728,1.5847614436328215,2.2860349740303714,3.838657370726117,111.28842798133358,6.0
