Intervention,Book,Motion,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_at_m_low_deg,theta_at_m_high_deg,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm,k_linear_1to5_nm_per_deg,k_chord_1to5_nm_per_deg,k_secant_0to5_nm_per_deg,k_secant_0to4_nm_per_deg
Intact,4,Flexion/Extension,True,ok,2,0.4489022439889008,0.4489022439889008,-0.028600624145139225,,0.06371236617352793,11.201994847389251,0.06371236617352793,11.201994847389251,0.0,5.0,0.7214788824468491,0.7009307943570078,0.4489022439889008,0.37881422660680164
PUF Left,7,Flexion/Extension,True,ok,2,0.4286878120417138,0.4286878120417138,-0.059801632334279035,,0.13949925949483255,11.80299856960228,0.13949925949483255,11.80299856960228,0.0,5.0,0.6734369654635642,0.6505566354031626,0.4286878120417138,0.3638302061370027
FUF Left,10,Flexion/Extension,True,ok,2,0.4093755952970138,0.4093755952970138,-0.0615484202008031,,0.15034706735790626,12.364069764658305,0.15034706735790626,12.364069764658305,0.0,5.0,0.6439222862511015,0.626687628855247,0.4093755952970138,0.3478676981889854
FBF,13,Flexion/Extension,True,ok,2,0.4143656226492352,0.4143656226492352,-0.03821700772656,,0.0922301601233727,12.158868236980805,0.0922301601233727,12.158868236980805,0.0,5.0,0.7264289478442071,0.6971702020711156,0.4143656226492352,0.35029674936882105
Posterior Release,16,Flexion/Extension,True,ok,2,0.4656502766316349,0.4656502766316349,-0.038075986105880574,,0.08176949100365638,10.819441625912285,0.08176949100365638,10.819441625912285,0.0,5.0,0.9653645014328186,0.9126842352750869,0.4656502766316349,0.39616049336269
SPO,19,Flexion/Extension,True,ok,2,0.4458537547875503,0.4458537547875503,-0.06583199488781372,,0.14765378598007484,11.36209337813402,0.14765378598007484,11.36209337813402,0.0,5.0,0.8325001683965617,0.7951587805254401,0.4458537547875503,0.38317001513388205
