file_name,intervention,cycle,s,e,i0_force,i0,pk,t_start_s,t_peak_s,rise_s,F_start_raw_N,F_peak_raw_N,F_peak_dyn_N,F_start_id_N,F_peak_id_N,theta_force_start_deg,theta_start_deg,theta_peak_deg,dtheta_deg,theta_force_start_raw_deg,theta_start_raw_deg,theta_preramp_med_deg,theta_preramp_open_frac,non_neutral_force_start_flag,non_neutral_preramp_window_flag,non_neutral_start_window_flag,run_samples,transition_flag_raw,transition_flag
2 - Intact Holding Longer,"intact, but holding",1,274,1000,242,266,371,27.933629666666654,31.433721666666656,3.500092000000002,7.673659919666413,53.030345845000134,45.35668592533372,7.67732844251215,52.49176469360064,-0.8091833274139146,-0.47995552583609197,1.3876899755448677,1.8676455013809596,-0.7621250603705454,-0.16738519382854936,-0.6554482676670428,0.0,False,False,False,726,False,False
2 - Intact Holding Longer,"intact, but holding",2,1339,2087,1306,1349,1410,64.73434366666666,66.76750966666665,2.0331659999999943,14.93027761699992,51.16311619266612,36.23283857566621,15.302729654144915,51.53085203447293,-0.6047159396253804,-0.24202382226576216,0.415859982781979,0.6578838050477411,-0.5901323857949554,-0.1992339800997064,-0.6013134086525214,0.0,False,False,False,748,False,False
2 - Intact Holding Longer,"intact, but holding",3,2286,3045,2256,2226,2412,94.86809866666665,101.06809266666666,6.199994000000004,4.97018781333344,52.80559325266652,47.83540543933308,5.004700107253036,51.81401079897844,-1.210903598256567,0.006601268677531238,0.5577066414483828,0.5511053727708516,-1.394686699957779,-0.006607264723210965,-0.03352312811695442,0.0,False,False,False,759,False,False
2 - Intact Holding Longer,"intact, but holding",4,3389,4123,3329,3326,3572,133.00202966666666,141.20233966666666,8.200310000000002,3.04068,31.036799606666666,27.996119606666667,2.869402723638822,31.23493981890972,-0.5485182923022093,-0.5440971953362167,1.3135782307548052,1.857675426091022,-0.5054559411058331,-0.5181087534533966,-0.5874500208870217,0.0,False,False,False,734,False,False
2 - Intact Holding Longer,"intact, but holding",5,4290,4950,4241,4224,4382,164.63583666666665,170.00268866666664,5.366851999999994,4.62711,27.371031035332766,22.743921035332768,4.556851131027881,26.904210679333477,-1.2504449530555883,-0.393153527652856,1.0543992745188886,1.4475528021717445,-1.5690094548359579,-0.3408871235282709,-0.7595816393050143,0.0,False,False,False,660,False,False
2 - Intact Holding Longer,"intact, but holding",6,5099,5762,5039,5062,5243,194.86965866666665,200.90315266666664,6.03349399999999,5.2971548533338515,25.730766506665947,20.433611653332097,5.379786834874533,25.65951252981924,-0.7133855885622837,-0.3675866045600117,1.198439180858147,1.5660257854181587,-0.7230452925218073,-0.3276861415859253,-0.8838386480850726,0.0,False,False,False,663,False,False
2 - Intact Holding Longer,"intact, but holding",7,5952,6413,5911,5932,6063,225.63685866666665,230.00367666666665,4.366817999999995,5.807601583999907,41.41456525666703,35.60696367266713,5.695094772676305,41.33745003733081,-0.9284740335036177,0.010587888791698034,1.5275376781345806,1.5169497893428825,-1.192934437077224,0.15214818014887646,-0.4311720959065382,0.0,False,False,False,461,True,False
2 - Intact Holding Longer,"intact, but holding",8,6569,7229,6509,6498,6664,258.63738866666665,264.50413166666664,5.866742999999985,4.397231826666709,46.11592539833266,41.718693571665945,4.252312226154962,46.51505576013118,0.5715335483586971,0.00453245089204549,1.3818057294848698,1.3772732785928243,1.0314404899650924,-0.3374593718671015,-0.5369204587800158,0.0,False,False,False,660,False,False
2 - Intact Holding Longer,"intact, but holding",9,7479,8360,7419,7398,7685,292.63804066666665,302.20480566666663,9.566764999999975,6.134498806666665,41.974489999999996,35.83999119333333,6.385144600939112,41.47509557357543,-1.8464146139234971,-0.00792673687892407,1.29894193491163,1.306868671790554,-1.457493328259622,0.2785511170837841,-0.24223218141206104,0.0,False,False,False,881,False,False
3 - PUBF Left,"PUBF, left",1,1178,1838,1118,1122,1281,66.45083799999999,71.75099399999999,5.300156000000001,2.6824732620003893,33.645295387999404,30.962822125999015,2.3123747480636783,33.107147285803705,-0.3665123876798538,-0.32017638745804383,2.386330650674361,2.706507038132405,-0.3924088217147347,-0.15292648921034302,-1.2468857555828348,0.0,False,False,False,660,False,False
3 - PUBF Left,"PUBF, left",2,2073,2593,2014,2015,2157,99.71807699999998,104.45139899999998,4.733322000000001,0.05084604300048204,33.731661651000685,33.6808156080002,0.43394495009558115,34.08886521445815,-0.04047332733833207,0.012373050150758142,1.027653696946145,1.0152806467953868,0.03488374780072363,0.15582493292180682,-0.7433608232624053,0.0,False,False,False,520,True,False
3 - PUBF Left,"PUBF, left",3,2742,3352,2692,2716,2837,124.91847099999998,128.951822,4.03335100000001,3.742928260998904,35.32819973999998,31.585271479001076,4.1230326387763885,35.21839776311742,-0.09334185230511632,0.0016061079059999977,1.0675992375614882,1.0659931296554883,-0.22267103682655254,-0.046258781405959105,-0.6736201051504249,0.0,False,False,False,610,False,False
3 - PUBF Left,"PUBF, left",4,3564,4113,3539,3566,3658,154.752252,157.818967,3.066714999999988,11.708308600000022,30.53209186999995,18.82378326999993,11.508866786312227,30.02414018629613,-0.3636412937803448,0.006775505446909455,1.3824043266337194,1.37562882118681,-0.3183447163379317,-0.013259478077182762,-0.43883678091874645,0.0,False,False,False,549,True,False
