theta_deg_zhang_sign,moment_mts_centered_nm_zhang_sign,moment_mts_refit_cubic_nm,moment_paper_f0_nm,moment_paper_f500_nm,moment_diff_mts_minus_paper_f0_nm,moment_diff_mts_minus_paper_f500_nm
-9.511738062279145,-7.595,-7.608864973879107,-36.53863518023465,-53.18417678922315,28.94363518023465,45.58917678922315
-9.506133192688186,-7.563815631262524,-7.597938479751191,-36.48895146079944,-53.12468454800377,28.925135829536917,45.56086891674125
-9.500175484818561,-7.53263126252505,-7.586335790044767,-36.43619077827989,-53.061497876712366,28.903559515754836,45.528866614187315
-9.49324635475289,-7.501446893787574,-7.572856340029691,-36.37489303211099,-52.98807415292855,28.873446138323416,45.486627259140974
-9.485345802491167,-7.4702625250501,-7.557506943772552,-36.30508789516595,-52.90444304952549,28.834825370115848,45.43418052447539
-9.476473828033399,-7.4390781563126245,-7.540295361969861,-36.22680916288765,-52.8106383619461,28.787731006575022,45.37156020563347
-9.466592175213568,-7.4078937875751505,-7.521156266278304,-36.13975800220683,-52.70629430883058,28.73186421463168,45.29840052125543
-9.463320614017883,-7.376709418837675,-7.514827056890801,-36.11096918610056,-52.671780260631856,28.734259767262888,45.29507084179418
-9.457799050429813,-7.345525050100201,-7.504153139482311,-36.06241660048526,-52.613564938737426,28.716891550385057,45.268039888637226
-9.451056791178605,-7.314340681362725,-7.491133377548927,-36.00319074084646,-52.54254012540902,28.688850059483737,45.2281994440463
-9.443093836264257,-7.283156312625251,-7.4757760739494135,-35.933327764316985,-52.45874197777944,28.650171451691733,45.17558566515419
-9.433893701222527,-7.251971943887775,-7.458059305097071,-35.85272601892772,-52.36203999606714,28.600754075039944,45.110068052179365
-9.423341795020436,-7.2207875751502995,-7.437774438575801,-35.76043399749972,-52.251282138785484,28.539646422349417,45.03049456363519
-9.412096873268144,-7.1896032064128255,-7.416198469478272,-35.66225970076831,-52.133429228987566,28.472656494355483,44.94382602257474
-9.400234103760576,-7.15841883767535,-7.3934829841510075,-35.5588914364289,-52.00930111800991,28.400472598753552,44.85088228033456
-9.387037160527795,-7.127234468937876,-7.368268144818856,-35.44413886482586,-51.8714538957495,28.316904395887985,44.74421942681162
-9.372295045577289,-7.0960501002004,-7.340169919870016,-35.31625051621556,-51.71776684597582,28.22020041601516,44.621716745775416
-9.356092468731667,-7.064865731462926,-7.309371849062423,-35.176057431744134,-51.54921925202455,28.111191700281207,44.484353520561626
-9.339790812807376,-7.03368136272545,-7.278473850457123,-35.03539206571826,-51.380025988131166,28.001710702992813,44.34634462540571
-9.323390077804417,-7.002496993987976,-7.247477407799564,-34.89426088505868,-51.21019352121641,27.891763891070703,44.207696527228435
-9.306890263722789,-6.9713126252505,-7.216384009809276,-34.75267037853447,-51.03972834004935,27.781357753283967,44.06841571479885
-9.29029137056249,-6.9401282565130265,-7.185195150106382,-34.610627056445765,-50.868636954930125,27.670498799932737,43.9285086984171
-9.273593398323523,-6.908943887775551,-7.153912327137634,-34.468137450304525,-50.69692589737069,27.559193562528975,43.78798200959514
-9.256796347005888,-6.877759519038077,-7.122537044102016,-34.32520811251333,-50.524601719773635,27.447448593475254,43.646842200735556
-9.239900216609586,-6.846575150300601,-7.091070808875898,-34.1818456160423,-50.351670995109075,27.3352704657417,43.50509584480847
-9.223448423257066,-6.815390781563125,-7.060522641820252,-34.04264774004127,-50.18368248074113,27.227256958478144,43.36829169917801
-9.208157292918271,-6.784206412825651,-7.03220963149999,-33.913618641985686,-50.02789390459266,27.129412229160035,43.243687491767005
-9.192966166159444,-6.753022044088175,-7.004158001440782,-33.78576534821446,-49.87345613899349,27.032743304126285,43.12043409490531
-9.175046489177769,-6.721837675350701,-6.971165395165765,-33.63537243871064,-49.69170379477173,26.913534763359937,42.969866119421035
-9.15601524969355,-6.690653306613226,-6.9362416313546,-33.476153191425105,-49.499179878388816,26.78549988481188,42.80852657177559
-9.136357804619678,-6.659468937875752,-6.900293298913116,-33.3122375631356,-49.30086372122003,26.652768625259846,42.64139478334428
-9.116074153956156,-6.628284569138276,-6.863332252628427,-33.143677200251815,-49.096806969675086,26.51539263111354,42.46852240053681
