Intervention,Book,Motion,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_at_m_low_deg,theta_at_m_high_deg,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm
Intact,4,Flexion/Extension,True,ok,2,0.8258293072362046,0.8258293072362046,-1.5731066513601997,,3.1157851008843367,7.959401045427119,3.1157851008843367,7.959401045427119,1.0,5.0
PUBF Left,7,Flexion/Extension,True,ok,2,0.8498415537954593,0.8498415537954593,-1.4905407350905016,,2.9305942077879696,7.63735393509912,2.9305942077879696,7.63735393509912,1.0,5.0
FUF Left,10,Flexion/Extension,True,ok,2,0.8319174853284067,0.8319174853284067,-1.4808321154209625,,2.9820651196454087,7.790234283707353,2.9820651196454087,7.790234283707353,1.0,5.0
FBF,13,Flexion/Extension,True,ok,2,0.8011684730668325,0.8011684730668325,-1.8871486641095734,,3.6036723375518185,8.596380031962461,3.6036723375518185,8.596380031962461,1.0,5.0
Posterior Release,16,Flexion/Extension,True,ok,2,0.7712495993839921,0.7712495993839921,-3.5218430280672006,,5.8630085923919575,11.049397023834718,5.8630085923919575,11.049397023834718,1.0,5.0
SPO,19,Flexion/Extension,True,ok,2,0.693646756907473,0.693646756907473,-4.367908116310341,,7.73867687386359,13.505300822101221,7.73867687386359,13.505300822101221,1.0,5.0
