Intervention,Book,Motion,BranchLabel,BranchSign,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_at_m_low_deg,theta_at_m_high_deg,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm,k_linear_1to5_nm_per_deg,k_chord_1to5_nm_per_deg,k_secant_0to5_nm_per_deg,k_secant_0to4_nm_per_deg
Intact,5,Lateral Bending,negative_mirrored,-1.0,True,ok,2,0.9740350149589053,0.9740350149589053,-0.02286195472416831,,0.023471388988139053,5.156757075038092,0.023471388988139053,5.156757075038092,0.0,5.0,1.2216858541646518,1.183094453810123,0.9740350149589053,0.8862398581199293
PUF Left,8,Lateral Bending,negative_mirrored,-1.0,True,ok,2,0.8679788102922673,0.8679788102922673,-0.06970687061885533,,0.08030941515194767,5.840818704907986,0.08030941515194767,5.840818704907986,0.0,5.0,1.051917086720096,1.036943056471162,0.8679788102922673,0.7882055479207304
FUF Left,11,Lateral Bending,negative_mirrored,-1.0,True,ok,2,0.842428102585219,0.842428102585219,-0.05569414751300996,,0.06611145490291381,6.001336057045393,0.06611145490291381,6.001336057045393,0.0,5.0,1.0300857116629676,1.0085346930428465,0.842428102585219,0.7655351108677588
FBF,14,Lateral Bending,negative_mirrored,-1.0,True,ok,2,0.8192366814183737,0.8192366814183737,-0.06210973214680262,,0.07581414938509567,6.179056488758037,0.07581414938509567,6.179056488758037,0.0,5.0,1.0153775129294957,0.9976491053865426,0.8192366814183737,0.7397672774466039
Posterior Release,17,Lateral Bending,negative_mirrored,-1.0,True,ok,2,0.7848146566200112,0.7848146566200112,-0.060065353183398035,,0.07653444373998264,6.447465411739071,0.07653444373998264,6.447465411739071,0.0,5.0,0.9893070101027389,0.9760788298580895,0.7848146566200112,0.7125598948410089
SPO,20,Lateral Bending,negative_mirrored,-1.0,True,ok,2,0.7480496295764968,0.7480496295764968,-0.055830492917001526,,0.07463474442011231,6.758683238409363,0.07463474442011231,6.758683238409363,0.0,5.0,0.9522239011037469,0.9353019631190703,0.7480496295764968,0.6785290810818441
