file_name,intervention,cycle,F_start_N,F_eng_N,F_peak_N,theta_dist_start_deg,theta_dist_at_eng_deg,theta_eng_start_deg,M_start_Nm,M_eng_Nm,lag_s,theta0_deg,ramp_start_time_s,eng_time_s
2 - Intact Holding Longer,"intact, but holding",1,3.0941044499996475,12.0,53.030345845000134,-0.21485839039464238,-0.19595767403394293,-0.018900716360699454,0.430080518549951,1.6924637755149,10.766666666666653,-0.5808139799509149,27.233616666666656,28.300251666666654
2 - Intact Holding Longer,"intact, but holding",2,3.502215282332818,12.0,52.037103426000456,-0.044992267148506127,0.3808937351991509,-0.425886002347657,0.4868079242442617,1.7365548000000004,10.766666666666653,-0.5808139799509149,63.26745566666665,64.56753266666665
2 - Intact Holding Longer,"intact, but holding",3,1.1255750046671706,12.0,52.80559325266652,-1.1314305864401935,0.06188850713580596,-1.1933190935759994,0.15645492564873673,1.7011025103766482,10.766666666666653,-0.5808139799509149,95.80138866666665,97.40141566666665
2 - Intact Holding Longer,"intact, but holding",4,2.4587416266656255,12.0,32.04588466766701,0.05833109443174089,-0.060968949841775366,0.11930004427351626,0.34176508610652195,1.6920790737866729,10.766666666666653,-0.5808139799509149,133.10199666666665,135.23539866666667
2 - Intact Holding Longer,"intact, but holding",5,1.5369377100003803,12.0,28.172468371999745,-0.2883264959418176,-0.08729026982337862,-0.20103622611843897,0.21363434169005285,1.67223811,10.766666666666653,-0.5808139799509149,165.13582966666664,167.03599766666665
2 - Intact Holding Longer,"intact, but holding",6,4.257678562000294,12.0,26.002556486666833,-0.1658804965539158,0.21022876632621806,-0.37610926288013385,0.5918173201180408,1.7042355245068375,10.766666666666653,-0.5808139799509149,194.10294466666664,196.30301166666666
2 - Intact Holding Longer,"intact, but holding",7,1.9039737826658178,12.0,41.90660723366684,-0.6496622699665155,1.1699392281440932,-1.8196014981106088,0.26465235579054863,1.6974027201788935,10.766666666666653,-0.5808139799509149,224.70350466666665,226.80347766666665
2 - Intact Holding Longer,"intact, but holding",8,4.457709648665872,12.0,47.119678955000026,0.32744369618931124,0.2889112889538975,0.038532407235413735,0.6196216411645562,1.7039429937249735,10.766666666666653,-0.5808139799509149,259.37072866666665,261.47078466666665
2 - Intact Holding Longer,"intact, but holding",9,6.34575,12.0,42.44790680333336,-1.7895893514855932,0.07048722001917351,-1.8600765715047667,0.8820592500000001,1.707748730973384,10.766666666666653,-0.5808139799509149,293.40470066666666,295.47135066666664
3 - PUBF Left,"PUBF, left",1,1.38658004000018,12.0,34.225080760999944,0.18603861154816448,0.9541973822154419,-0.7681587706672774,0.19273462556002502,1.7228405981029917,12.24999999999999,-0.5923902805897615,66.31755899999999,68.417537
