Intervention,Book,Motion,BranchLabel,BranchSign,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_at_m_low_deg,theta_at_m_high_deg,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm,k_linear_1to5_nm_per_deg,k_chord_1to5_nm_per_deg,k_secant_0to5_nm_per_deg,k_secant_0to4_nm_per_deg
Intact,6,Axial Rotation,negative_mirrored,-1.0,True,ok,2,2.4303763130496243,2.4303763130496243,-0.033437497079984335,,0.013758156257714316,2.07105272959316,0.013758156257714316,2.07105272959316,0.0,5.0,2.451624445454008,2.4711603959994153,2.4303763130496243,2.333732113231554
PUF Left,9,Axial Rotation,negative_mirrored,-1.0,True,ok,2,2.0276855096213,2.0276855096213,-0.04822512057408922,,0.023783333433741394,2.489648960166865,0.023783333433741394,2.489648960166865,0.0,5.0,2.2449571105042363,2.2417188572610276,2.0276855096213,1.906531084946376
FUF Left,12,Axial Rotation,negative_mirrored,-1.0,True,ok,2,1.9124982895780367,1.9124982895780367,-0.00759657335793118,,0.003972068053251565,2.618353491161961,0.003972068053251565,2.618353491161961,0.0,5.0,2.2345694537239233,2.2173885899484587,1.9124982895780367,1.7901003578291266
FBF,15,Axial Rotation,negative_mirrored,-1.0,True,ok,2,1.647561216106763,1.647561216106763,-0.044756130930342815,,0.027165079204827913,3.061953681363813,0.027165079204827913,3.061953681363813,0.0,5.0,1.8718596589482923,1.852763104117603,1.647561216106763,1.5488262432784037
Posterior Release,18,Axial Rotation,negative_mirrored,-1.0,True,ok,2,1.640992907093612,1.640992907093612,-0.04695914431881946,,0.028616299385467503,3.075552077344178,0.028616299385467503,3.075552077344178,0.0,5.0,1.8620047118080512,1.8355736150833926,1.640992907093612,1.5375279741948074
SPO,21,Axial Rotation,negative_mirrored,-1.0,True,ok,2,1.564016872571599,1.564016872571599,-0.0092086350375236,,0.005887810546687078,3.202784268433912,0.005887810546687078,3.202784268433912,0.0,5.0,1.7842156254487533,1.7610254063859223,1.564016872571599,1.4657044039392841
