Intervention,Book,Motion,valid,reason,n_points_window,k_signed_nm_per_deg,k_abs_nm_per_deg,intercept_nm,r2,theta_at_m_low_deg,theta_at_m_high_deg,theta_min_deg,theta_max_deg,moment_min_nm,moment_max_nm,k_linear_1to5_nm_per_deg,k_chord_1to5_nm_per_deg,k_secant_0to5_nm_per_deg,k_secant_0to4_nm_per_deg
Intact,4,Flexion/Extension,True,ok,2,0.634432855123408,0.634432855123408,-0.04970553032256508,,0.0783464001291303,7.959401045427119,0.0783464001291303,7.959401045427119,0.0,5.0,0.8661582389131607,0.8258293072362046,0.634432855123408,0.565587311386861
PUF Left,7,Flexion/Extension,True,ok,2,0.6556310301934136,0.6556310301934136,-0.007286228420757617,,0.011113306242702015,7.63735393509912,0.011113306242702015,7.63735393509912,0.0,5.0,0.8888889302250753,0.8498415537954593,0.6556310301934136,0.5827057472378582
FUF Left,10,Flexion/Extension,True,ok,2,0.6438929757872347,0.6438929757872347,-0.01607713501606389,,0.02496864482239103,7.790234283707353,0.02496864482239103,7.790234283707353,0.0,5.0,0.8665329389068408,0.8319174853284067,0.6438929757872347,0.5757294146064875
FBF,13,Flexion/Extension,True,ok,2,0.5901329533752111,0.5901329533752111,-0.0730071365976982,,0.12371303141121098,8.596380031962461,0.12371303141121098,8.596380031962461,0.0,5.0,0.8456217397313035,0.8011684730668325,0.5901329533752111,0.5251867804183387
Posterior Release,16,Flexion/Extension,True,ok,2,0.4634388327530589,0.4634388327530589,-0.12071965935108495,,0.2604867154397694,11.049397023834718,0.2604867154397694,11.049397023834718,0.0,5.0,0.8165286151055476,0.7712495993839921,0.4634388327530589,0.40125289476455206
SPO,19,Flexion/Extension,True,ok,2,0.37989316370755327,0.37989316370755327,-0.1305714561302528,,0.3437057273048705,13.505300822101221,0.3437057273048705,13.505300822101221,0.0,5.0,0.7219238536523875,0.693646756907473,0.37989316370755327,0.32622261992446294
