file_name,intervention,cycle,i0,pk,t_start_s,t_peak_s,rise_s,F_start_N,F_peak_N,theta_start_deg,theta_peak_deg,dtheta_deg,disp_start_mm,disp_peak_mm,ddisp_mm,run_samples,transition_flag_raw,transition_flag
2 - Intact Holding Longer,"intact, but holding",1,245,371,27.233616666666656,31.433721666666656,4.200105000000001,3.0941044499996475,53.030345845000134,-0.2080861877222826,1.9480159444214111,2.156102132143694,-0.47892402910186377,4.483486650743569,4.9624106798454335,727,False,False
2 - Intact Holding Longer,"intact, but holding",2,1305,1413,63.26745566666665,66.86754066666666,3.600085000000007,3.502215282332818,52.037103426000456,-0.04346605617146926,1.0642935594622358,1.107759615633705,-0.10003998332936366,2.44954153480431,2.5495815181336736,748,False,False
2 - Intact Holding Longer,"intact, but holding",3,2254,2412,95.80138866666665,101.06809266666666,5.266704000000004,1.1255750046671706,52.80559325266652,-1.0980421615987486,1.070235436192858,2.1682775977916067,-2.527216159385093,2.463217154389663,4.990433313774756,746,False,False
2 - Intact Holding Longer,"intact, but holding",4,3329,3573,133.10199666666665,141.23550566666665,8.133509000000004,2.4587416266656255,32.04588466766701,0.056713765644404224,1.9042214632606829,1.8475076976162788,0.13053045685188633,4.38269077572896,4.252160318877074,736,False,False
2 - Intact Holding Longer,"intact, but holding",5,4239,4380,165.13582966666664,169.93599866666665,4.800169000000011,1.5369377100003803,28.172468371999745,-0.2793652326369753,1.5977325790099817,1.877097811646957,-0.6429774329089335,3.6772864770246967,4.32026390993363,644,False,False
2 - Intact Holding Longer,"intact, but holding",6,5039,5240,194.10294466666664,200.80313566666666,6.700191000000018,4.257678562000294,26.002556486666833,-0.1608755857715699,1.7746403226032317,1.9355159083748017,-0.3702657277025612,4.084451269019808,4.454716996722369,663,False,False
2 - Intact Holding Longer,"intact, but holding",7,5908,6062,224.70350466666665,229.97026966666664,5.266764999999992,1.9039737826658178,41.90660723366684,-0.6307647303269865,2.081901825565466,2.7126665558924525,-1.45174645837967,4.79163380043782,6.24338025881749,455,False,False
2 - Intact Holding Longer,"intact, but holding",8,6512,6666,259.37072866666665,264.57081166666666,5.2000830000000065,4.457709648665872,47.119678955000026,0.3174758742830504,1.990185720705652,1.6727098464226016,0.7306915779398152,4.580543160766845,3.8498515828270294,659,False,False
2 - Intact Holding Longer,"intact, but holding",9,7421,7597,293.40470066666666,299.27139666666665,5.86669599999999,6.34575,42.44790680333336,-1.7376461509720196,1.7861448476507713,3.5237909986227907,-3.999306753063025,4.110929689086903,8.110236442149928,880,False,False
3 - PUBF Left,"PUBF, left",1,1118,1280,66.31755899999999,71.71765099999999,5.400092000000001,1.38658004000018,34.225080760999944,0.1801675375401871,2.9607242112316516,2.7805566736914646,0.4146674218822638,6.814301246149745,6.3996338242674815,660,False,False
